"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Abrothrix illuteus","LR/lc","NT","G","2008","Abrothrix illuteus"
"Abrothrix sanborni","LR/lc","NT","G","2008","Abrothrix sanborni"
"Akodon latebricola","LR/lc","VU","G","2008","Akodon latebricola"
"Akodon surdus","LR/lc","VU","G","2008","Akodon surdus"
"Arborimus longicaudus","LR/lc","NT","G","2008","Arborimus longicaudus"
"Arvicola sapidus","LR/nt","VU","G","2008","Arvicola sapidus"
"Calomys hummelincki","LR/lc","VU","G","2008","Calomys hummelincki"
"Mesocricetus brandti","LR/lc","NT","G","2008","Mesocricetus koenigi"
"Mesocricetus brandti","LR/lc","NT","G","2008","Mesocricetus brandti"
"Microtus oaxacensis","LR/nt","EN","G","2008","Microtus oaxacensis"
"Microtus quasiater","LR/lc","NT","G","2008","Microtus quasiater"
"Microtus umbrosus","LR/lc","EN","G","2008","Microtus umbrosus"
"Neotoma palatina","LR/nt","VU","G","2008","Neotoma palatina"
"Reithrodontomys microdon","LR/nt","VU","G","2008","Reithrodontomys microdon"
"Reithrodontomys spectabilis","EN","CR","G","2008","Reithrodontomys spectabilis"
"Sigmodon alleni","LR/lc","VU","G","2008","Sigmodon alleni"
"Thomasomys hylophilus","LR/lc","EN","G","2008","Thomasomys hylophilus"
"Wilfredomys oenax","LR/lc","EN","G","2008","Wilfredomys oenax"
"Xenomys nelsoni","LR/nt","EN","G","2008","Xenomys nelsoni"
"Ctenomys australis","LR/lc","EN","G","2008","Ctenomys australis"
"Allactaga vinogradovi","LR/lc","NT","G","2008","Allactaga vinogradovi"
"Pappogeomys alcorni","VU","CR","G","2008","Pappogeomys alcorni"
"Chaetodipus goldmani","LR/lc","VU","G","2008","Chaetodipus goldmani"
"Dipodomys nitratoides","LR/nt","VU","G","2008","Dipodomys nitratoides"
"Gerbillus gleadowi","LR/lc","NT","G","2008","Gerbillus gleadowi"
"Maxomys rajah","LR/lc","VU","G","2008","Maxomys rajah"
"Maxomys whiteheadi","LR/lc","VU","G","2008","Maxomys whiteheadi"
"Nesokia bunnii","LR/nt","EN","G","2008","Nesokia bunnii"
"Niviventer cremoriventer","LR/lc","VU","G","2008","Niviventer cremoriventer"
"Pseudomys fumeus","VU","EN","G","2008","Pseudomys fumeus"
"Pseudomys novaehollandiae","LR/lc","VU","G","2008","Pseudomys novaehollandiae"
"Rattus richardsoni","LR/lc","VU","G","2008","Rattus richardsoni"
"Solomys ponceleti","EN","CR","G","2008","Solomys ponceleti"
"Solomys salebrosus","LR/nt","EN","G","2008","Solomys salebrosus"
"Solomys sapientis","VU","EN","G","2008","Solomys sapientis"
"Uromys neobritannicus","LR/lc","EN","G","2008","Uromys neobritannicus"
"Zyzomys maini","LR/lc","NT","G","2008","Zyzomys maini"
"Octodon bridgesi","LR/lc","VU","G","2008","Octodon bridgesi"
"Octodon pacificus","VU","CR","G","2008","Octodon pacificus"
"Callosciurus adamsi","LR/lc","VU","G","2008","Callosciurus adamsi"
"Callosciurus melanogaster","LR/lc","VU","G","2008","Callosciurus melanogaster"
"Marmota sibirica","LR/lc","EN","G","2008","Marmota sibirica"
"Marmota vancouverensis","EN","CR","G","2008","Marmota vancouverensis"
"Petaurista nobilis","LR/nt","VU","G","2008","Petaurista nobilis"
"Petinomys genibarbis","LR/lc","VU","G","2008","Petinomys genibarbis"
"Petinomys lugens","LR/nt","EN","G","2008","Petinomys lugens"
"Petinomys setosus","LR/lc","VU","G","2008","Petinomys setosus"
"Petinomys vordermanni","LR/lc","VU","G","2008","Petinomys vordermanni"
"Pteromyscus pulverulentus","LR/nt","EN","G","2008","Pteromyscus pulverulentus"
"Ratufa bicolor","LR/lc","NT","G","2008","Ratufa bicolor"
"Rhinosciurus laticaudatus","LR/lc","NT","G","2008","Rhinosciurus laticaudatus"
"Rubrisciurus rubriventer","LR/lc","VU","G","2008","Rubrisciurus rubriventer"
"Spermophilus perotensis","LR/nt","EN","G","2008","Spermophilus perotensis"
"Spermophilus xanthoprymnus","LR/lc","NT","G","2008","Spermophilus xanthoprymnus"
"Spalax arenarius","VU","EN","G","2008","Spalax arenarius"
"Spalax zemni","LR/lc","VU","G","2008","Spalax podolicus"
"Spalax zemni","LR/lc","VU","G","2008","Spalax polonicus"
"Spalax zemni","LR/lc","VU","G","2008","Spalax zemni"
"Ducula galeata","CR","EN","G","2008","Ducula galeata"
"Apteryx owenii","VU","NT","G","2008","Apteryx owenii"
"Aythya baeri","VU","EN","G","2008","Aythya baeri"
"Sterna nereis","LC","VU","G","2008","Sterna nereis"
"Eurynorhynchus pygmeus","EN","CR","G","2008","Eurynorhynchus pygmeus"
"Numenius arquata","LC","NT","G","2008","Numenius arquata"
"Ducula finschii","LC","NT","G","2008","Ducula finschii"
"Ducula rubricera","LC","NT","G","2008","Ducula rubricera"
"Reinwardtoena browni","LC","NT","G","2008","Reinwardtoena browni"
"Centropus violaceus","LC","NT","G","2008","Centropus violaceus"
"Accipiter princeps","NT","VU","G","2008","Accipiter princeps"
"Pauxi pauxi","VU","EN","G","2008","Pauxi pauxi"
"Tetrao mlokosiewiczi","DD","NT","G","2008","Tetrao mlokosiewiczi"
"Atrichornis rufescens","NT","VU","G","2008","Atrichornis rufescens"
"Coracina newtoni","EN","CR","G","2008","Coracina newtoni"
"Corvus kubaryi","EN","CR","G","2008","Corvus kubaryi"
"Loxops caeruleirostris","EN","CR","G","2008","Loxops caeruleirostris"
"Stipiturus mallee","VU","EN","G","2008","Stipiturus mallee"
"Melidectes whitemanensis","LC","NT","G","2008","Melidectes whitemanensis"
"Mimus trifasciatus","EN","CR","G","2008","Mimus trifasciatus"
"Megalurulus grosvenori","DD","VU","G","2008","Megalurulus grosvenori"
"Sylvia undata","LC","NT","G","2008","Sylvia undata"
"Diomedea dabbenena","EN","CR","G","2008","Diomedea dabbenena"
"Cacatua ophthalmica","LC","VU","G","2008","Cacatua ophthalmica"
"Ninox odiosa","LC","VU","G","2008","Ninox odiosa"
"Tyto aurantia","DD","VU","G","2008","Tyto aurantia"
"Crocodylus rhombifer","EN","CR","G","2008","Crocodylus rhombifer"
"Erymnochelys madagascariensis","EN","CR","G","2008","Erymnochelys madagascariensis"
"Astrochelys radiata","VU","CR","G","2008","Astrochelys radiata"
"Astrochelys yniphora","EN","CR","G","2008","Astrochelys yniphora"
"Pyxis arachnoides","VU","CR","G","2008","Pyxis arachnoides"
"Pyxis planicauda","EN","CR","G","2008","Pyxis planicauda"
"Thorius macdougalli","EN","VU","G","2008","Thorius macdougalli"
"Incilius holdridgei","CR","EX","G","2008","Incilius holdridgei"
"Centrolene buckleyi","NT","VU","G","2008","Centrolene buckleyi"
"Craugastor escoces","CR","EX","G","2008","Craugastor escoces"
"Parvimolge townsendi","EN","CR","G","2008","Parvimolge townsendi"
"Pseudoeurycea gigantea","EN","CR","G","2008","Pseudoeurycea gigantea"
"Pseudoeurycea juarezi","EN","CR","G","2008","Pseudoeurycea juarezi"
"Thorius munificus","EN","CR","G","2008","Thorius munificus"
"Hemiphlebia mirabilis","VU","EN","G","2008","Hemiphlebia mirabilis"
"Acrocephalus luscinius","EN","CR","G","2009","Acrocephalus luscinius"
"Anodorhynchus leari","CR","EN","G","2009","Anodorhynchus leari"
"Balearica regulorum","LC","VU","G","2009","Balearica regulorum"
"Foudia rubra","CR","EN","G","2009","Foudia rubra"
"Grantiella picta","NT","VU","G","2009","Grantiella picta"
"Heteromirafra sidamoensis","EN","CR","G","2009","Heteromirafra sidamoensis"
"Loxioides bailleui","EN","CR","G","2009","Loxioides bailleui"
"Menura alberti","VU","NT","G","2009","Menura alberti"
"Podiceps gallardoi","NT","EN","G","2009","Podiceps gallardoi"
"Pterodroma axillaris","CR","EN","G","2009","Pterodroma axillaris"
"Pterodroma cookii","EN","VU","G","2009","Pterodroma cookii"
"Suiriri islerorum","LC","NT","G","2009","Suiriri islerorum"
"Todiramphus godeffroyi","EN","CR","G","2009","Todiramphus godeffroyi"
"Nectophrynoides asperginis","CR","EW","G","2009","Nectophrynoides asperginis"
"Neochanna apoda","LR/nt","VU","G","2009","Neochanna apoda"
"Prototroctes maraena","VU","NT","G","2009","Prototroctes maraena"
"Pseudomugil connieae","LR/lc","VU","G","2009","Pseudomugil connieae"
"Triakis semifasciata","LR/cd","LC","G","2009","Triakis semifasciata"
"Biomphalaria tchadiensis","VU","EN","G","2009","Biomphalaria tchadiensis"
"Partula labrusca","EW","EX","G","2009","Partula labrusca"
"Partula rosea","CR","EW","G","2009","Partula rosea"
"Partula varia","CR","EW","G","2009","Partula varia"
"Samoana attenuata","EN","CR","G","2009","Samoana attenuata"
"Toussaintia orientalis","VU","EN","G","2009","Toussaintia orientalis"
"Balearica pavonina","NT","VU","G","2010","Balearica pavonina"
"Calidris tenuirostris","LC","VU","G","2010","Calidris tenuirostris"
"Chaetura pelagica","LC","NT","G","2010","Chaetura pelagica"
"Cyanolimnas cerverai","EN","CR","G","2010","Cyanolimnas cerverai"
"Emberiza jankowskii","VU","EN","G","2010","Emberiza jankowskii"
"Numenius madagascariensis","LC","VU","G","2010","Numenius madagascariensis"
"Ognorhynchus icterotis","CR","EN","G","2010","Ognorhynchus icterotis"
"Spheniscus demersus","VU","EN","G","2010","Spheniscus demersus"
"Sturnus melanopterus","EN","CR","G","2010","Sturnus melanopterus"
"Aprasia aurita","VU","CR","G","2010","Aprasia aurita"
"Iguana delicatissima","VU","EN","G","2010","Iguana delicatissima"
"Oligosoma otagense","VU","EN","G","2010","Oligosoma otagense"
"Vandijkophrynus amatolicus","EN","CR(PE)","G","2010","Vandijkophrynus amatolicus"
"Fundulus waccamensis","VU","EN","G","2010","Fundulus waccamensis"
"Huso dauricus","EN","CR","G","2010","Huso dauricus"
"Huso huso","EN","CR","G","2010","Huso huso"
"Xyrauchen texanus","EN","CR","G","2010","Xyrauchen texanus"
"Chlorolestes elegans","NT","VU","G","2010","Chlorolestes elegans"
"Cucujus cinnaberinus","VU","NT","G","2010","Cucujus depressus"
"Cucujus cinnaberinus","VU","NT","G","2010","Cucujus geniculatus"
"Cucujus cinnaberinus","VU","NT","G","2010","Cucujus sanguinolentus"
"Cucujus cinnaberinus","VU","NT","G","2010","Meloe cinnaberinus"
"Cucujus cinnaberinus","VU","NT","G","2010","Cucujus cinnaberinus"
"Bellamya mweruensis","EN","CR","G","2010","Bellamya mweruensis"
