"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Eusphyra blochii","NT","EN","G","2016","Eusphyra blochii"
"Katria katria","VU","EN","G","2016","Katria katria"
"Marcusenius victoriae","EN","LC","G","2016","Marcusenius victoriae"
"Pachypanchax omalonota","LC","EN","G","2016","Pachypanchax omalonota"
"Paretroplus dambabe","EN","CR","G","2016","Paretroplus dambabe"
"Paretroplus gymnopreopercularis","EN","CR","G","2016","Paretroplus gymnopreopercularis"
"Ptychochromis oligacanthus","LC","EN","G","2016","Ptychochromis oligacanthus"
"Ptychochromoides betsileanus","CR","CR(PE)","G","2016","Ptychochromoides betsileanus"
"Rheocles alaotrensis","VU","EN","G","2016","Rheocles alaotrensis"
"Rheocles derhami","VU","CR","G","2016","Rheocles derhami"
"Rhincodon typus","VU","EN","G","2016","Rhincodon typus"
"Bellamya phthinotropis","EN","CR","G","2016","Bellamya phthinotropis"
"Ceratophallus concavus","EN","CR","G","2016","Ceratophallus concavus"
"Ceratophallus crassus","NT","EN","G","2016","Ceratophallus crassus"
"Cleopatra cridlandi","VU","CR","G","2016","Cleopatra cridlandi"
"Gabbiella barthi","EN","CR","G","2016","Gabbiella barthi"
"Agriocnemis palaeforma","NT","VU","G","2016","Agriocnemis palaeforma"
"Neodythemis nyungwe","NT","VU","G","2016","Neodythemis nyungwe"
"Acrostira bellamyi","NT","CR","G","2016","Orchamus bellamyi"
"Acrostira bellamyi","NT","CR","G","2016","Acrostira bellamyi"
"Acrostira tamarani","NT","EN","G","2016","Acrostira tamarani"
"Chrysochraon beybienkoi","VU","CR","G","2016","Chrysochraon beybienkoi"
"Commidendrum robustum","EN","CR","G","2016","Commidendrum robustum"
"Degeneria vitiensis","VU","LC","G","2016","Degeneria vitiensis"
"Lachanodes arborea","CR","EW","G","2016","Lachanodes arborea"
"Magnolia jardinensis","EN","CR","G","2016","Magnolia jardinensis"
"Neuburgia alata","LR/nt","EN","G","2016","Neuburgia alata"
"Elaphoglossum nervosum","EN","CR","G","2016","Elaphoglossum nervosum"
"Cyanea eleeleensis","CR","EX","G","2016","Cyanea eleeleensis"
"Hibiscadelphus woodii","CR","EX","G","2016","Hibiscadelphus woodii"
"Melicope macropus","EN","EX","G","2016","Melicope macropus"
"Aotus nancymaae","LC","VU","G","2017","Aotus nancymaae"
"Eudorcas tilonura","VU","EN","G","2017","Eudorcas tilonura"
"Kobus leche","LC","NT","G","2017","Kobus leche"
"Neophocaena asiaeorientalis","VU","EN","G","2017","Neophocaena asiaeorientalis"
"Orcaella brevirostris","VU","EN","G","2017","Orcaella brevirostris"
"Pelea capreolus","LC","NT","G","2017","Pelea capreolus"
"Pipistrellus murrayi","CR","EX","G","2017","Pipistrellus murrayi"
"Pseudocheirus occidentalis","VU","CR","G","2017","Pseudocheirus occidentalis"
"Pteropus rennelli","VU","EN","G","2017","Pteropus rennelli"
"Pteropus rodricensis","CR","EN","G","2017","Pteropus rodricensis"
"Redunca fulvorufula","LC","EN","G","2017","Redunca fulvorufula"
"Tragelaphus derbianus","LC","VU","G","2017","Tragelaphus derbianus"
"Amazona brasiliensis","VU","NT","G","2017","Amazona brasiliensis"
"Apteryx mantelli","EN","VU","G","2017","Apteryx mantelli"
"Apteryx rowi","EN","VU","G","2017","Apteryx rowi"
"Charadrius obscurus","EN","CR","G","2017","Charadrius obscurus"
"Diomedea antipodensis","VU","EN","G","2017","Diomedea antipodensis"
"Emberiza aureola","EN","CR","G","2017","Emberiza aureola"
"Garrulax mitratus","LC","NT","G","2017","Garrulax mitratus"
"Lanius meridionalis","LC","VU","G","2017","Lanius meridionalis"
"Mimus trifasciatus","CR","EN","G","2017","Mimus trifasciatus"
"Myrmotherula klagesi","NT","VU","G","2017","Myrmotherula klagesi"
"Nestor notabilis","VU","EN","G","2017","Nestor notabilis"
"Oxyura maccoa","NT","VU","G","2017","Oxyura maccoa"
"Pedionomus torquatus","EN","CR","G","2017","Pedionomus torquatus"
"Pelecanus crispus","VU","NT","G","2017","Pelecanus crispus"
"Procellaria westlandica","VU","EN","G","2017","Procellaria westlandica"
"Rissa tridactyla","LC","VU","G","2017","Rissa tridactyla"
"Sporophila maximiliani","VU","EN","G","2017","Sporophila maximiliani"
"Troglodytes cobbi","VU","LC","G","2017","Troglodytes cobbi"
"Ctenotus zastictus","VU","NT","G","2017","Ctenotus zastictus"
"Delma impar","VU","EN","G","2017","Delma impar"
"Emoia nativitatis","CR","EX","G","2017","Emoia nativitatis"
"Homopholis mulleri","LR/nt","VU","G","2017","Homopholis mulleri"
"Homopus signatus","LR/nt","VU","G","2017","Homopus signatus"
"Lepidodactylus listeri","VU","EW","G","2017","Lepidodactylus listeri"
"Platysaurus relictus","LR/nt","LC","G","2017","Platysaurus relictus"
"Ramphotyphlops exocoeti","VU","EN","G","2017","Ramphotyphlops exocoeti"
"Gastrotheca antomia","VU","CR","G","2017","Gastrotheca antomia"
"Gastrotheca aureomaculata","NT","EN","G","2017","Gastrotheca aureomaculata"
"Pristimantis molybrignus","NT","CR","G","2017","Pristimantis molybrignus"
"Chiloglanis bifurcus","EN","CR","G","2017","Chiloglanis bifurcus"
"Enteromius gurneyi","LC","VU","G","2017","Enteromius gurneyi"
"Amphorella cimensis","VU","NT","G","2017","Achatina gracilis var. B subula"
"Amphorella cimensis","VU","NT","G","2017","Amphorella cimensis"
"Amphorella melampoides","VU","LC","G","2017","Achatina tornatellina maxima"
"Amphorella melampoides","VU","LC","G","2017","Ferussacia melampoides"
"Amphorella melampoides","VU","LC","G","2017","Glandina melampoides"
"Amphorella melampoides","VU","LC","G","2017","Helix melampoides"
"Amphorella melampoides","VU","LC","G","2017","Lovea melampoides"
"Amphorella melampoides","VU","LC","G","2017","Amphorella melampoides"
"Boettgeria crispa","NT","EN","G","2017","Clausilia crispa"
"Boettgeria crispa","NT","EN","G","2017","Clausilia decolorata"
"Boettgeria crispa","NT","EN","G","2017","Boettgeria crispa"
"Boettgeria obesiuscula","VU","CR","G","2017","Clausilia obesiuscula"
"Boettgeria obesiuscula","VU","CR","G","2017","Boettgeria obesiuscula"
"Ligumia nasuta","LR/nt","VU","G","2017","Ligumia nasuta"
"Malacolimax wiktori","LR/nt","EN","G","2017","Malacolimax wiktori"
"Obovaria subrotunda","LR/nt","EN","G","2017","Obovaria subrotunda"
"Oxychilus agostinhoi","VU","CR","G","2017","Oxychilus agostinhoi"
"Ptychobranchus fasciolaris","LR/lc","NT","G","2017","Ptychobranchus fasciolaris"
"Pittosporum brevispinum","EN","CR","G","2017","Pittosporum brevispinum"
"Sorbus wilmottiana","CR","EN","G","2017","Sorbus wilmottiana"
"Balaenoptera physalus","EN","VU","G","2018","Balaena physalus"
"Balaenoptera physalus","EN","VU","G","2018","Balaenoptera physalus"
"Eudorcas thomsonii","NT","LC","G","2018","Eudorcas thomsonii"
"Geocapromys brownii","VU","EN","G","2018","Geocapromys brownii"
"Oryx beisa","NT","EN","G","2018","Oryx beisa"
"Pteropus niger","VU","EN","G","2018","Pteropus niger"
"Ara rubrogenys","EN","CR","G","2018","Ara rubrogenys"
"Carpococcyx renauldi","LC","VU","G","2018","Carpococcyx renauldi"
"Chaetura pelagica","NT","VU","G","2018","Chaetura pelagica"
"Diomedea amsterdamensis","CR","EN","G","2018","Diomedea amsterdamensis"
"Euryceros prevostii","VU","EN","G","2018","Euryceros prevostii"
"Garrulax palliatus","LC","NT","G","2018","Garrulax palliatus"
"Geronticus eremita","CR","EN","G","2018","Geronticus eremita"
"Lonchura oryzivora","VU","EN","G","2018","Lonchura oryzivora"
"Melanerpes erythrocephalus","NT","LC","G","2018","Melanerpes erythrocephalus"
"Nesoenas mayeri","EN","VU","G","2018","Nesoenas mayeri"
"Oriolia bernieri","VU","EN","G","2018","Oriolia bernieri"
"Passerculus henslowii","NT","LC","G","2018","Passerculus henslowii"
"Prinia familiaris","LC","NT","G","2018","Prinia familiaris"
"Psittacula longicauda","NT","VU","G","2018","Psittacula longicauda"
"Pterodroma sandwichensis","VU","EN","G","2018","Pterodroma sandwichensis"
"Puffinus newelli","EN","CR","G","2018","Puffinus newelli"
"Pycnonotus zeylanicus","EN","CR","G","2018","Pycnonotus zeylanicus"
"Sitta insularis","EN","CR","G","2018","Sitta insularis"
"Somateria fischeri","LC","NT","G","2018","Somateria fischeri"
"Tachybaptus pelzelnii","VU","EN","G","2018","Tachybaptus pelzelnii"
"Carettochelys insculpta","VU","EN","G","2018","Carettochelys insculpta"
"Chersobius boulengeri","NT","EN","G","2018","Chersobius boulengeri"
"Chersobius signatus","VU","EN","G","2018","Chersobius signatus"
"Cryptactites peringueyi","CR","NT","G","2018","Cryptactites peringueyi"
"Gopherus flavomarginatus","VU","CR","G","2018","Gopherus flavomarginatus"
"Iguana delicatissima","EN","CR","G","2018","Iguana delicatissima"
"Larutia miodactyla","LC","VU","G","2018","Larutia miodactyla"
"Phelsuma guentheri","EN","VU","G","2018","Phelsuma guentheri"
"Psammobates tentorius","LC","NT","G","2018","Psammobates tentorius"
"Tympanocryptis pinguicolla","VU","EN","G","2018","Tympanocryptis pinguicolla"
"Ansonia guibei","EN","CR","G","2018","Ansonia guibei"
"Atelopus pulcher","CR","VU","G","2018","Atelopus pulcher"
"Leptobrachella arayai","VU","LC","G","2018","Leptobrachella arayai"
"Nannophryne cophotis","LC","CR(PE)","G","2018","Nannophryne cophotis"
"Nannophryne corynetes","VU","EN","G","2018","Nannophryne corynetes"
"Platymantis banahao","VU","NT","G","2018","Platymantis banahao"
"Werneria bambutensis","EN","CR","G","2018","Werneria bambutensis"
"Werneria tandyi","EN","CR","G","2018","Werneria tandyi"
"Aulonocara guentheri","LC","EN","G","2018","Aulonocara guentheri"
"Aulonocara kandeense","VU","CR","G","2018","Aulonocara kandeense"
"Aulonocara maylandi","VU","CR","G","2018","Aulonocara maylandi"
"Bagrus meridionalis","LC","CR","G","2018","Bagrus meridionalis"
"Champsochromis spilorhynchus","LC","EN","G","2018","Champsochromis spilorhynchus"
"Chindongo saulosi","VU","CR","G","2018","Chindongo saulosi"
"Copadichromis azureus","LC","NT","G","2018","Copadichromis azureus"
"Corematodus shiranus","LC","CR(PE)","G","2018","Corematodus shiranus"
"Hyporthodus ergastularius","LC","NT","G","2018","Hyporthodus ergastularius"
"Mchenga conophoros","VU","CR","G","2018","Mchenga conophoros"
"Melanochromis chipokae","VU","CR","G","2018","Melanochromis chipokae"
"Melanochromis lepidiadaptes","VU","CR","G","2018","Melanochromis lepidiadaptes"
"Nimbochromis fuscotaeniatus","LC","VU","G","2018","Nimbochromis fuscotaeniatus"
"Oreochromis karongae","EN","CR","G","2018","Oreochromis karongae"
"Oreochromis squamipinnis","EN","CR","G","2018","Oreochromis squamipinnis"
"Pseudotropheus brevis","LC","EN","G","2018","Pseudotropheus brevis"
"Pseudotropheus cyaneorhabdos","VU","CR","G","2018","Pseudotropheus cyaneorhabdos"
"Serranochromis robustus","LC","CR","G","2018","Serranochromis robustus"
"Trematocranus microstoma","LC","EN","G","2018","Trematocranus microstoma"
"Dipturus innominatus","NT","LC","G","2018","Dipturus innominatus"
"Bellamya robertsoni","EN","CR","G","2018","Bellamya robertsoni"
"Hystricella echinulata","LC","EN","G","2018","Discula echinulata"
"Hystricella echinulata","LC","EN","G","2018","Hystricella echinulata"
"Ischnura gemina","VU","EN","G","2018","Ischnura gemina"
"Leptobasis lucifer","LC","DD","G","2018","Leptobasis lucifer"
"Eurytides iphitas","VU","EN","G","2018","Eurytides iphitas"
"Parides burchellanus","LR/nt","EN","G","2018","Parides burchellanus"
"Caridina dennerli","EN","CR(PEW)","G","2018","Caridina dennerli"
"Caridina spongicola","EN","CR","G","2018","Caridina spongicola"
"Amaranthus brownii","CR","EX","G","2018","Amaranthus brownii"
"Apterosperma oblata","VU","CR","G","2018","Apterosperma oblata"
"Aquilaria malaccensis","VU","CR","G","2018","Aquilaria malaccensis"
"Aquilaria microcarpa","VU","EN","G","2018","Aquilaria microcarpa"
"Boswellia pirottae","LR/nt","VU","G","2018","Boswellia pirottae"
"Bulbophyllum jaapii","VU","CR","G","2018","Bulbophyllum jaapii"
"Carthamus balearicus","VU","NT","G","2018","Acosta balearica"
"Carthamus balearicus","VU","NT","G","2018","Carduncellus balearicus"
"Carthamus balearicus","VU","NT","G","2018","Centaurea balearica"
"Carthamus balearicus","VU","NT","G","2018","Femeniasia balearica"
"Carthamus balearicus","VU","NT","G","2018","Carthamus balearicus"
"Cenchrus agrimonioides","CR","EN","G","2018","Cenchrus agrimonioides"
"Cola porphyrantha","EN","CR","G","2018","Cola porphyrantha"
"Coussarea mexicana","VU","EN","G","2018","Coussarea mexicana"
"Eugenia koolauensis","EN","CR","G","2018","Eugenia koolauensis"
"Euphorbia kuwaleana","EN","CR","G","2018","Euphorbia kuwaleana"
"Gonystylus bancanus","VU","CR","G","2018","Gonystylus bancanus"
"Livistona carinensis","VU","EN","G","2018","Livistona carinensis"
"Nepenthes mapuluensis","LR/nt","EN","G","2018","Nepenthes mapuluensis"
"Palaquium maingayi","LR/lc","VU","G","2018","Palaquium maingayi"
"Psychotria petitii","VU","EN","G","2018","Psychotria petitii"
"Sclerocarya gillettii","VU","EN","G","2018","Sclerocarya gillettii"
"Vatica bantamensis","EN","CR","G","2018","Vatica bantamensis"
"Aotus miconax","VU","EN","G","2019","Aotus miconax"
"Arctocebus calabarensis","LC","NT","G","2019","Arctocebus calabarensis"
"Callithrix aurita","VU","EN","G","2019","Callithrix aurita"
"Callithrix kuhlii","NT","VU","G","2019","Callithrix kuhlii"
"Cebuella pygmaea","LC","VU","G","2019","Cebuella pygmaea"
"Cercocebus torquatus","VU","EN","G","2019","Cercocebus torquatus"
"Cercopithecus diana","VU","EN","G","2019","Cercopithecus diana"
"Cercopithecus lowei","LC","VU","G","2019","Cercopithecus lowei"
"Cercopithecus nictitans","LC","NT","G","2019","Cercopithecus nictitans"
"Cercopithecus roloway","EN","CR","G","2019","Cercopithecus roloway"
"Cercopithecus sclateri","VU","EN","G","2019","Cercopithecus sclateri"
"Colobus vellerosus","VU","CR","G","2019","Colobus vellerosus"
"Lophocebus albigena","LC","VU","G","2019","Lophocebus albigena"
"Lophocebus aterrimus","NT","VU","G","2019","Lophocebus aterrimus"
"Miopithecus ogouensis","LC","NT","G","2019","Miopithecus ogouensis"
"Miopithecus talapoin","LC","VU","G","2019","Miopithecus talapoin"
"Notopteris neocaledonica","VU","EN","G","2019","Notopteris neocaledonica"
"Oryctolagus cuniculus","NT","EN","G","2019","Oryctolagus cuniculus"
"Otomys laminatus","LC","NT","G","2019","Otomys laminatus"
"Piliocolobus oustaleti","LC","VU","G","2019","Piliocolobus oustaleti"
"Piliocolobus pennantii","EN","CR","G","2019","Piliocolobus pennantii"
"Piliocolobus rufomitratus","EN","CR","G","2019","Piliocolobus rufomitratus"
"Piliocolobus tholloni","NT","VU","G","2019","Piliocolobus tholloni"
"Piliocolobus waldroni","CR","CR(PE)","G","2019","Piliocolobus waldroni"
"Porcula salvania","CR","EN","G","2019","Porcula salvania"
"Procolobus verus","NT","VU","G","2019","Procolobus verus"
"Rousettus madagascariensis","NT","VU","G","2019","Rousettus madagascariensis"
"Saguinus bicolor","EN","CR","G","2019","Saguinus bicolor"
"Saguinus geoffroyi","LC","NT","G","2019","Saguinus geoffroyi"
"Saguinus martinsi","LC","NT","G","2019","Saguinus martinsi"
"Sapajus libidinosus","LC","NT","G","2019","Sapajus libidinosus"
"Alophoixus bres","LC","NT","G","2019","Alophoixus bres"
"Amazona aestiva","LC","NT","G","2019","Amazona aestiva"
"Amazona imperialis","EN","CR","G","2019","Amazona imperialis"
"Chloropsis cochinchinensis","NT","EN","G","2019","Chloropsis cochinchinensis"
"Chloropsis media","VU","EN","G","2019","Chloropsis media"
"Cichlocolaptes mazarbarnetti","CR","EX","G","2019","Cichlocolaptes mazarbarnetti"
"Cotinga maculata","EN","CR","G","2019","Cotinga maculata"
"Cyanopsitta spixii","CR","EW","G","2019","Cyanopsitta spixii"
"Gymnobucco vernayi","LC","VU","G","2019","Gymnobucco vernayi"
"Haemorhous cassinii","NT","LC","G","2019","Haemorhous cassinii"
"Hydrornis gurneyi","EN","CR","G","2019","Hydrornis gurneyi"
"Hypotaenidia owstoni","EW","CR","G","2019","Hypotaenidia owstoni"
"Laterallus jamaicensis","NT","EN","G","2019","Laterallus jamaicensis"
"Megapodius pritchardii","EN","VU","G","2019","Megapodius pritchardii"
"Melamprosops phaeosoma","CR","EX","G","2019","Melamprosops phaeosoma"
"Philydor novaesi","CR","EX","G","2019","Philydor novaesi"
"Psittacula eques","EN","VU","G","2019","Psittacula eques"
"Pterodroma ultima","NT","LC","G","2019","Pterodroma ultima"
"Setophaga cerulea","VU","NT","G","2019","Setophaga cerulea"
"Turdus lherminieri","VU","NT","G","2019","Turdus lherminieri"
"Vireo atricapilla","VU","NT","G","2019","Vireo atricapilla"
"Batagur dhongoka","EN","CR","G","2019","Batagur dhongoka"
"Cyclura cornuta","VU","EN","G","2019","Cyclura cornuta"
"Geoclemys hamiltonii","VU","EN","G","2019","Geoclemys hamiltonii"
"Liolaemus vallecurensis","LC","NT","G","2019","Liolaemus vallecurensis"
"Malaclemys terrapin","LR/nt","VU","G","2019","Malaclemys terrapin"
"Malacochersus tornieri","VU","CR","G","2019","Malacochersus tornieri"
"Rhampholeon gorongosae","LC","EN","G","2019","Rhampholeon gorongosae"
"Sauromalus hispidus","NT","EN","G","2019","Sauromalus hispidus"
"Anomaloglossus degranvillei","LC","CR","G","2019","Anomaloglossus degranvillei"
"Arthroleptis krokosua","NT","CR","G","2019","Arthroleptis krokosua"
"Atelognathus patagonicus","EN","CR","G","2019","Atelognathus patagonicus"
"Atelopus limosus","EN","CR","G","2019","Atelopus limosus"
"Bolitoglossa hypacra","LC","EN","G","2019","Bolitoglossa hypacra"
"Dendrotriton sanctibarbarus","VU","CR","G","2019","Dendrotriton sanctibarbarus"
"Phrynobatrachus steindachneri","VU","CR","G","2019","Phrynobatrachus steindachneri"
"Rhinella achalensis","NT","EN","G","2019","Rhinella achalensis"
"Telmatobius hauthali","VU","EN","G","2019","Telmatobius hauthali"
"Werneria mertensiana","EN","CR","G","2019","Werneria mertensiana"
"Wolterstorffina parvipalmata","VU","CR","G","2019","Wolterstorffina parvipalmata"
"Bidyanus bidyanus","VU","NT","G","2019","Bidyanus bidyanus"
"Bryconops imitator","LC","NT","G","2019","Bryconops imitator"
"Characodon audax","VU","EN","G","2019","Characodon audax"
"Characodon lateralis","EN","CR","G","2019","Characodon lateralis"
"Chlamydogobius gloveri","VU","CR","G","2019","Chlamydogobius gloveri"
"Craterocephalus dalhousiensis","VU","CR","G","2019","Craterocephalus dalhousiensis"
"Craterocephalus fluviatilis","EN","CR","G","2019","Craterocephalus fluviatilis"
"Cyprinodon veronicae","CR","EW","G","2019","Cyprinodon veronicae"
"Galaxias pedderensis","CR","EN","G","2019","Galaxias pedderensis"
"Galaxias rostratus","VU","CR","G","2019","Galaxias rostratus"
"Galaxias tanycephalus","VU","CR","G","2019","Galaxias tanycephalus"
"Galaxiella munda","LR/nt","EN","G","2019","Galaxiella munda"
"Galaxiella nigrostriata","LR/nt","EN","G","2019","Galaxiella nigrostriata"
"Girardinichthys multiradiatus","VU","EN","G","2019","Girardinichthys multiradiatus"
"Gymnocharacinus bergii","EN","CR","G","2019","Gymnocharacinus bergii"
"Hypseleotris aurea","LR/lc","EN","G","2019","Hypseleotris aurea"
"Hypseleotris ejuncida","LR/nt","CR","G","2019","Hypseleotris ejuncida"
"Hypseleotris kimberleyensis","LR/nt","EN","G","2019","Hypseleotris kimberleyensis"
"Kimberleyeleotris hutchinsi","LR/nt","VU","G","2019","Kimberleyeleotris hutchinsi"
"Kimberleyeleotris notata","LR/nt","CR","G","2019","Kimberleyeleotris notata"
"Leiopotherapon aheneus","LR/nt","EN","G","2019","Leiopotherapon aheneus"
"Lepidogalaxias salamandroides","LR/nt","EN","G","2019","Lepidogalaxias salamandroides"
"Maccullochella macquariensis","EN","VU","G","2019","Maccullochella macquariensis"
"Megupsilon aporus","EW","EX","G","2019","Megupsilon aporus"
"Melanotaenia pygmaea","LR/nt","VU","G","2019","Melanotaenia pygmaea"
"Nannatherina balstoni","DD","EN","G","2019","Nannatherina balstoni"
"Nannoperca obscura","VU","EN","G","2019","Nannoperca obscura"
"Nannoperca variegata","VU","EN","G","2019","Nannoperca variegata"
"Nothobranchius albimarginatus","VU","EN","G","2019","Nothobranchius albimarginatus"
"Nothobranchius guentheri","LC","EN","G","2019","Nothobranchius guentheri"
"Oreochromis mossambicus","NT","VU","G","2019","Oreochromis mossambicus"
"Parakysis longirostris","LC","NT","G","2019","Parakysis longirostris"
"Paratherina labiosa","VU","CR","G","2019","Paratherina labiosa"
"Probarbus jullieni","EN","CR","G","2019","Probarbus jullieni"
"Prototroctes maraena","NT","VU","G","2019","Prototroctes maraena"
"Xiphophorus couchianus","CR","EW","G","2019","Xiphophorus couchianus"
"Xiphophorus meyeri","EN","EW","G","2019","Xiphophorus meyeri"
"Pseudoginglymostoma brevicaudatum","VU","CR","G","2019","Pseudoginglymostoma brevicaudatum"
"Hesperia dacotae","VU","EN","G","2019","Hesperia dacotae"
"Anisophyllea globosa","VU","CR","G","2019","Anisophyllea globosa"
"Anisophyllea impressinervia","VU","CR","G","2019","Anisophyllea impressinervia"
"Asteropeia densiflora","NT","VU","G","2019","Asteropeia densiflora"
"Beilschmiedia lumutensis","LR/lc","VU","G","2019","Beilschmiedia lumutensis"
"Beilschmiedia membranacea","VU","EN","G","2019","Beilschmiedia membranacea"
"Bulbophyllum multiflorum","LC","VU","G","2019","Bulbophyllum multiflorum"
"Commiphora mafaidoha","LR/nt","EN","G","2019","Commiphora mafaidoha"
"Dalbergia davidii","EN","CR","G","2019","Dalbergia davidii"
"Dalbergia emirnensis","LR/nt","VU","G","2019","Dalbergia emirnensis"
"Dalbergia glomerata","VU","CR","G","2019","Dalbergia glomerata"
"Dalbergia greveana","LR/nt","VU","G","2019","Dalbergia greveana"
"Dalbergia mollis","LR/nt","VU","G","2019","Dalbergia mollis"
"Dalbergia peltieri","LC","VU","G","2019","Dalbergia peltieri"
"Dalbergia pervillei","LR/nt","VU","G","2019","Dalbergia pervillei"
"Eucalyptus morrisbyi","EN","CR","G","2019","Eucalyptus morrisbyi"
"Euphorbia bongolavensis","VU","EN","G","2019","Euphorbia bongolavensis"
"Fleurydora felicis","VU","EN","G","2019","Fleurydora felicis"
"Isolona linearis","VU","EN","G","2019","Isolona linearis"
"Jatropha chamelensis","VU","EN","G","2019","Jatropha chamelensis"
"Kokoona sabahana","VU","CR","G","2019","Kokoona sabahana"
"Millettia sacleuxii","VU","EN","G","2019","Millettia sacleuxii"
"Neoharmsia madagascariensis","VU","EN","G","2019","Neoharmsia madagascariensis"
"Neolitsea kedahensis","LR/cd","EN","G","2019","Neolitsea kedahensis"
"Ormocarpopsis mandrarensis","VU","EN","G","2019","Ormocarpopsis mandrarensis"
"Prunus mirabilis","VU","EN","G","2019","Prunus mirabilis"
"Sarawakodendron filamentosum","VU","EN","G","2019","Sarawakodendron filamentosum"
"Allocebus trichotis","VU","EN","G","2020","Allocebus trichotis"
"Alouatta caraya","LC","NT","G","2020","Alouatta caraya"
"Alouatta guariba","LC","VU","G","2020","Alouatta guariba"
"Alouatta puruensis","LC","VU","G","2020","Alouatta puruensis"
"Bison bonasus","VU","NT","G","2020","Bos bonasus"
"Bison bonasus","VU","NT","G","2020","Bison bonasus"
"Callithrix flaviceps","EN","CR","G","2020","Callithrix flaviceps"
"Capra aegagrus","VU","NT","G","2020","Capra aegagrus"
"Capra sibirica","LC","NT","G","2020","Capra sibirica"
"Capra walie","EN","VU","G","2020","Capra walie"
"Cebuella niveiventris","LC","VU","G","2020","Cebuella niveiventris"
"Cercocebus atys","NT","VU","G","2020","Cercocebus atys"
"Cercocebus galeritus","EN","CR","G","2020","Cercocebus galeritus"
"Cercopithecus campbelli","LC","NT","G","2020","Cercopithecus campbelli"
"Cercopithecus erythrogaster","VU","EN","G","2020","Cercopithecus erythrogaster"
"Cercopithecus mona","LC","NT","G","2020","Cercopithecus mona"
"Cercopithecus petaurista","LC","NT","G","2020","Cercopithecus petaurista"
"Colobus angolensis","LC","VU","G","2020","Colobus angolensis"
"Colobus polykomos","VU","EN","G","2020","Colobus polykomos"
"Cricetus cricetus","LC","CR","G","2020","Cricetus cricetus"
"Eubalaena glacialis","EN","CR","G","2020","Balaena glacialis"
"Eubalaena glacialis","EN","CR","G","2020","Eubalaena glacialis"
"Eulemur fulvus","NT","VU","G","2020","Eulemur fulvus"
"Eulemur macaco","VU","EN","G","2020","Eulemur macaco"
"Eulemur rufifrons","NT","VU","G","2020","Eulemur rufifrons"
"Euoticus pallidus","LC","NT","G","2020","Euoticus pallidus"
"Hipposideros curtus","VU","EN","G","2020","Hipposideros curtus"
"Leontocebus illigeri","LC","NT","G","2020","Leontocebus illigeri"
"Lepilemur grewcockorum","EN","CR","G","2020","Lepilemur grewcockorum"
"Lepilemur mittermeieri","EN","CR","G","2020","Lepilemur mittermeieri"
"Lepilemur petteri","VU","EN","G","2020","Lepilemur petteri"
"Lepilemur ruficaudatus","VU","CR","G","2020","Lepilemur ruficaudatus"
"Loris lydekkerianus","LC","NT","G","2020","Loris lydekkerianus"
"Lycalopex vetulus","LC","NT","G","2020","Lycalopex vetulus"
"Macaca radiata","LC","VU","G","2020","Macaca radiata"
"Mico melanurus","LC","NT","G","2020","Mico melanurus"
"Microcebus berthae","EN","CR","G","2020","Microcebus berthae"
"Nycticebus bengalensis","VU","EN","G","2020","Nycticebus bengalensis"
"Nycticebus pygmaeus","VU","EN","G","2020","Nycticebus pygmaeus"
"Paragalago orinus","NT","VU","G","2020","Paragalago orinus"
"Perodicticus potto","LC","NT","G","2020","Perodicticus potto"
"Plecturocebus brunneus","LC","VU","G","2020","Plecturocebus brunneus"
"Propithecus coquereli","EN","CR","G","2020","Propithecus coquereli"
"Propithecus coronatus","EN","CR","G","2020","Propithecus coronatus"
"Propithecus deckenii","EN","CR","G","2020","Propithecus deckenii"
"Propithecus verreauxi","EN","CR","G","2020","Propithecus verreauxi"
"Pteropus aldabrensis","VU","EN","G","2020","Pteropus aldabrensis"
"Sciurocheirus alleni","LC","NT","G","2020","Sciurocheirus alleni"
"Spermophilus citellus","VU","EN","G","2020","Spermophilus citellus"
"Alectoris rufa","LC","NT","G","2020","Alectoris rufa"
"Alophoixus bres","NT","EN","G","2020","Alophoixus bres"
"Alophoixus tephrogenys","LC","VU","G","2020","Alophoixus tephrogenys"
"Amazona agilis","VU","EN","G","2020","Amazona agilis"
"Anas nesiotis","EN","VU","G","2020","Anas nesiotis"
"Apalis lynesi","NT","EN","G","2020","Apalis lynesi"
"Chersophilus duponti","NT","VU","G","2020","Chersophilus duponti"
"Eupsittula canicularis","LC","VU","G","2020","Eupsittula canicularis"
"Geokichla interpres","NT","EN","G","2020","Geokichla interpres"
"Grus nigricollis","VU","NT","G","2020","Grus nigricollis"
"Hylocichla mustelina","NT","LC","G","2020","Hylocichla mustelina"
"Larus audouinii","LC","VU","G","2020","Larus audouinii"
"Milvus milvus","NT","LC","G","2020","Falco milvus"
"Milvus milvus","NT","LC","G","2020","Milvus milvus"
"Ocyceros griseus","LC","VU","G","2020","Ocyceros griseus"
"Ognorhynchus icterotis","EN","VU","G","2020","Ognorhynchus icterotis"
"Podiceps taczanowskii","CR","EN","G","2020","Podiceps taczanowskii"
"Polemaetus bellicosus","VU","EN","G","2020","Polemaetus bellicosus"
"Rhyticeros narcondami","EN","VU","G","2020","Rhyticeros narcondami"
"Rynchops albicollis","VU","EN","G","2020","Rynchops albicollis"
