"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Incilius holdridgei","CR","EX","G","2008"
"Centrolene buckleyi","NT","VU","G","2008"
"Craugastor escoces","CR","EX","G","2008"
"Parvimolge townsendi","EN","CR","G","2008"
"Pseudoeurycea gigantea","EN","CR","G","2008"
"Pseudoeurycea juarezi","EN","CR","G","2008"
"Thorius munificus","EN","CR","G","2008"
"Hemiphlebia mirabilis","VU","EN","G","2008"
"Acrocephalus luscinius","EN","CR","G","2009"
"Anodorhynchus leari","CR","EN","G","2009"
"Balearica regulorum","LC","VU","G","2009"
"Foudia rubra","CR","EN","G","2009"
"Grantiella picta","NT","VU","G","2009"
"Heteromirafra sidamoensis","EN","CR","G","2009"
"Loxioides bailleui","EN","CR","G","2009"
"Menura alberti","VU","NT","G","2009"
"Podiceps gallardoi","NT","EN","G","2009"
"Pterodroma axillaris","CR","EN","G","2009"
"Pterodroma cookii","EN","VU","G","2009"
"Suiriri islerorum","LC","NT","G","2009"
"Todiramphus godeffroyi","EN","CR","G","2009"
"Nectophrynoides asperginis","CR","EW","G","2009"
"Neochanna apoda","LR/nt","VU","G","2009"
"Prototroctes maraena","VU","NT","G","2009"
"Pseudomugil connieae","LR/lc","VU","G","2009"
"Triakis semifasciata","LR/cd","LC","G","2009"
"Biomphalaria tchadiensis","VU","EN","G","2009"
"Partula labrusca","EW","EX","G","2009"
"Partula rosea","CR","EW","G","2009"
"Partula varia","CR","EW","G","2009"
"Samoana attenuata","EN","CR","G","2009"
"Toussaintia orientalis","VU","EN","G","2009"
"Balearica pavonina","NT","VU","G","2010"
"Calidris tenuirostris","LC","VU","G","2010"
"Chaetura pelagica","LC","NT","G","2010"
"Cyanolimnas cerverai","EN","CR","G","2010"
"Emberiza jankowskii","VU","EN","G","2010"
"Numenius madagascariensis","LC","VU","G","2010"
"Ognorhynchus icterotis","CR","EN","G","2010"
"Spheniscus demersus","VU","EN","G","2010"
"Sturnus melanopterus","EN","CR","G","2010"
"Aprasia aurita","VU","CR","G","2010"
"Iguana delicatissima","VU","EN","G","2010"
"Oligosoma otagense","VU","EN","G","2010"
"Vandijkophrynus amatolicus","EN","CR(PE)","G","2010"
"Fundulus waccamensis","VU","EN","G","2010"
"Huso dauricus","EN","CR","G","2010"
"Huso huso","EN","CR","G","2010"
"Xyrauchen texanus","EN","CR","G","2010"
"Chlorolestes elegans","NT","VU","G","2010"
"Cucujus cinnaberinus","VU","NT","G","2010"
"Bellamya mweruensis","EN","CR","G","2010"
"Bellamya pagodiformis","EN","CR","G","2010"
"Biomphalaria tchadiensis","EN","EN","G","2010"
"Bythinella cylindrica","VU","CR","G","2010"
"Melanopsis etrusca","VU","EN","G","2010"
"Cambarus cymatilis","VU","EN","G","2010"
"Cambarus obeyensis","VU","CR","G","2010"
"Cherax tenuimanus","VU","CR","G","2010"
"Engaeus granulatus","EN","CR","G","2010"
"Engaeus spinicaudatus","EN","CR","G","2010"
"Engaeus sternalis","EN","CR","G","2010"
"Engaewa similis","EN","LC","G","2010"
"Euastacus bindal","EN","CR","G","2010"
"Euastacus fleckeri","VU","EN","G","2010"
"Euastacus maidae","EN","CR","G","2010"
"Euastacus neodiversus","VU","EN","G","2010"
"Euastacus yigara","EN","CR","G","2010"
"Hobbseus orconectoides","VU","EN","G","2010"
"Hobbseus valleculus","VU","EN","G","2010"
"Orconectes jeffersoni","VU","EN","G","2010"
"Procambarus apalachicolae","VU","EN","G","2010"
"Agathis lanceolata","LR/cd","VU","G","2010"
"Agathis ovata","LR/cd","EN","G","2010"
"Araucaria biramulata","LR/cd","VU","G","2010"
"Araucaria humboldtensis","LR/cd","EN","G","2010"
"Araucaria montana","LR/lc","VU","G","2010"
"Araucaria muelleri","LR/cd","EN","G","2010"
"Libocedrus yateensis","VU","EN","G","2010"
"Neocallitropsis pancheri","VU","EN","G","2010"
"Parasitaxus ustus","LR/nt","VU","G","2010"
