"accepted_id","accepted_name","synonym"
170883,"Agathylla abrupta","Clausilia abrupta"
170883,"Agathylla abrupta","Clausilia rejectilis"
170883,"Agathylla abrupta","Agathylla abrupta"
170885,"Tandonia robici","Amalia robici"
170885,"Tandonia robici","Milax ploebsti"
170885,"Tandonia robici","Tandonia robici"
170886,"Arion ater","Limax ater"
170886,"Arion ater","Arion ater"
170887,"Serrulina serrulata","Clausilia amanica"
170887,"Serrulina serrulata","Clausilia erivanensis"
170887,"Serrulina serrulata","Clausilia gracilior"
170887,"Serrulina serrulata","Clausilia semiserrata"
170887,"Serrulina serrulata","Clausilia serrulata"
170887,"Serrulina serrulata","Serrulina serrulata"
170891,"Oxychilus fuscosus","Zonites alleryi"
170891,"Oxychilus fuscosus","Oxychilus fuscosus"
170892,"Euxina promta","Clausilia borisi"
170892,"Euxina promta","Clausilia pontica"
170892,"Euxina promta","Clausilia prompta"
170892,"Euxina promta","Euxina pontica"
170892,"Euxina promta","Euxina promta"
170893,"Isabellaria abyssoclista","Clausilia abyssoclista"
170893,"Isabellaria abyssoclista","Sericata abyssoclista"
170893,"Isabellaria abyssoclista","Isabellaria abyssoclista"
170894,"Boettgeria depauperata","Clausilia depauperata"
170894,"Boettgeria depauperata","Clausilia gracilima"
170894,"Boettgeria depauperata","Boettgeria depauperata"
170895,"Pyramidula cephalonica","Patula cephalonica"
170895,"Pyramidula cephalonica","Patula rupestris"
170895,"Pyramidula cephalonica","Pyramidula cephalonica"
170896,"Gyralina circumlineata","Helix circumlineata"
170896,"Gyralina circumlineata","Gyralina circumlineata"
170903,"Vitrea pygmaea","Hyalinia pygmaea"
170903,"Vitrea pygmaea","Vitrea pygmaea"
170905,"Alopia livida","Clausilia livida"
170905,"Alopia livida","Alopia livida"
170906,"Alopia subcosticollis","Alopia occulta"
170906,"Alopia subcosticollis","Clausilia subcosticollis"
170906,"Alopia subcosticollis","Alopia subcosticollis"
170907,"Vitrea subrimata","Hyalina subrimata"
170907,"Vitrea subrimata","Vitrea maritae"
170907,"Vitrea subrimata","Vitrea subrimata"
170908,"Lucilla singleyana","Zonites singleyanus"
170908,"Lucilla singleyana","Lucilla singleyana"
170910,"Tandonia jablanacensis","Milax jablanacensis"
170910,"Tandonia jablanacensis","Tandonia jablanacensis"
170915,"Carinigera dextrorsa","Clausilia dextrorsa"
170915,"Carinigera dextrorsa","Sericata dextrorsa"
170915,"Carinigera dextrorsa","Carinigera dextrorsa"
170916,"Oxychilus maceanus","Zonites maceanus"
170916,"Oxychilus maceanus","Oxychilus maceanus"
170918,"Oxychilus deilus","Zonites deilus"
170918,"Oxychilus deilus","Oxychilus deilus"
170919,"Hawaiia minuscula","Helix minuscula"
170919,"Hawaiia minuscula","Hawaiia minuscula"
170922,"Allaegopis jonicus","Aegopis jonicus"
170922,"Allaegopis jonicus","Allaegopis jonicus"
170923,"Vestia turgida","Clausilia turgida"
170923,"Vestia turgida","Vestia turgida"
170924,"Aegopis acies","Helix acies"
170924,"Aegopis acies","Helix crypta"
170924,"Aegopis acies","Helix pudiosa"
