Scientific name,Common name,"IUCN Red List(2016)Category","IUCN RedList (2017)Category","Reason forchange","Red Listversion"
Geothlypis beldingi,Belding's Yellowthroat,EN,VU,N,2017-3
Goldmania violiceps,Violet-capped Hummingbird,LC,NT,N,2017-3
Haematopus moquini,African Oystercatcher,NT,LC,N,2017-3
Haliaeetus leucoryphus,Pallas's Fish-eagle,VU,EN,N,2017-3
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,EN,VU,N,2017-3
Henicorhina anachoreta,Hermit Wood-wren,LC,NT,N,2017-3
Herpsilochmus gentryi,Ancient Antwren,NT,LC,N,2017-3
Heteroglaux blewitti,Forest Owlet,CR,EN,N,2017-3
Heteromirafra ruddi,Rudd's Lark,VU,EN,N,2017-3
Hypocnemis ochrogyna,Rondonia Antwarbler,LC,VU,N,2017-3
Hypsipetes borbonicus,Reunion Bulbul,LC,NT,N,2017-3
Incaspiza ortizi,Grey-winged Inca-finch,VU,LC,N,2017-3
Kittacincla albiventris,Andaman Shama,NT,LC,N,2017-3
Kupeornis gilberti,White-throated Mountain-babbler,EN,VU,N,2017-3
Lanius ludovicianus,Loggerhead Shrike,LC,NT,N,2017-3
Lanius meridionalis,Iberian Grey Shrike,LC,VU,G,2017-3
Leptodon forbesi,White-collared Kite,CR,EN,N,2017-3
Lybius leucogaster,White-bellied Barbet,LC,EN,N,2017-3
Macropygia rufipennis,Andaman Cuckoo-dove,NT,LC,N,2017-3
Malaconotus alius,Uluguru Bush-shrike,CR,EN,N,2017-3
Malindangia mcgregori,McGregor's Cuckooshrike,NT,LC,N,2017-3
Megacrex inepta,New Guinea Flightless Rail,NT,LC,N,2017-3
Melanocharis arfakiana,Obscure Berrypecker,DD,LC,N,2017-3
Melignomon eisentrauti,Yellow-footed Honeyguide,DD,NT,N,2017-3
Mimus trifasciatus,Floreana Mockingbird,CR,EN,G,2017-3
Mirafra cheniana,Melodious Lark,NT,LC,N,2017-3
Monticola explorator,Sentinel Rock-thrush,LC,NT,N,2017-3
Morus capensis,Cape Gannet,VU,EN,N,2017-3
Myrmotherula klagesi,Klages's Antwren,NT,VU,G,2017-3
Myzomela batjanensis,Bacan Myzomela,NT,VU,N,2017-3
Nestor notabilis,Kea,VU,EN,G,2017-3
Ninox affinis,Andaman Boobook,NT,LC,N,2017-3
Ninox granti,Guadalcanal Boobook,VU,NT,N,2017-3
Ninox spilonotus,Romblon Boobook,VU,EN,N,2017-3
Ninox sumbaensis,Least Boobook,NT,EN,N,2017-3
Nyctiprogne vielliardi,Bahian Nighthawk,NT,LC,N,2017-3
Onychoprion aleuticus,Aleutian Tern,LC,VU,N,2017-3
Otus balli,Andaman Scops-owl,NT,LC,N,2017-3
Otus capnodes,Anjouan Scops-owl,CR,EN,N,2017-3
Otus moheliensis,Moheli Scops-owl,CR,EN,N,2017-3
Otus pauliani,Grand Comoro Scops-owl,CR,EN,N,2017-3
Oxyura maccoa,Maccoa Duck,NT,VU,G,2017-3
Passer italiae,Italian Sparrow,LC,VU,N,2017-3
Pedionomus torquatus,Plains-wanderer,EN,CR,G,2017-3
Pelecanus crispus,Dalmatian Pelican,VU,NT,G,2017-3
Phylloscartes ceciliae,Alagoas Tyrannulet,EN,CR,N,2017-3
Pionus reichenowi,Blue-breasted Parrot,LC,VU,N,2017-3
Poicephalus robustus,Cape Parrot,LC,VU,N,2017-3
Pomarea iphis,Iphis Monarch,VU,CR,N,2017-3
Procellaria westlandica,Westland Petrel,VU,EN,G,2017-3
Promerops gurneyi,Gurney's Sugarbird,LC,NT,N,2017-3
Ptilopachus nahani,Nahan's Partridge,EN,VU,N,2017-3
Pyrrhura griseipectus,Grey-breasted Parakeet,CR,EN,N,2017-3
Pyrrhura leucotis,White-eared Parakeet,NT,VU,N,2017-3
Rallicula mayri,Mayr's Forest-rail,DD,LC,N,2017-3
Rallina canningi,Andaman Crake,NT,LC,N,2017-3
Rissa tridactyla,Black-legged Kittiwake,LC,VU,G,2017-3
Schistolais leontica,Sierra Leone Prinia,VU,EN,N,2017-3
Semioptera wallacii,Standardwing Bird-of-paradise,NT,LC,N,2017-3
Setophaga angelae,Elfin Woods Warbler,VU,EN,N,2017-3
Sittiparus owstoni,Izu Tit,NT,EN,N,2017-3
Spelaeornis kinneari,Pale-throated Wren-babbler,VU,NT,N,2017-3
Spilornis elgini,Andaman Serpent-eagle,NT,VU,N,2017-3
Sporophila maximiliani,Great-billed Seed-finch,VU,EN,G,2017-3
Strix butleri,Omani Owl,LC,DD,E,2017-1
Sylvia buryi,Yemen Warbler,VU,NT,N,2017-3
Sylvia nigricapillus,Bush Blackcap,NT,VU,N,2017-3
Synallaxis hellmayri,Red-shouldered Spinetail,NT,LC,N,2017-3
Synallaxis tithys,Blackish-headed Spinetail,EN,VU,N,2017-3
Thalassarche melanophris,Black-browed Albatross,NT,LC,N,2017-3
Todiramphus nigrocyaneus,Blue-black Kingfisher,DD,NT,N,2017-3
Todirostrum viridanum,Maracaibo Tody-flycatcher,NT,LC,N,2017-3
Troglodytes cobbi,Cobb's Wren,VU,LC,G,2017-3
Turdus menachensis,Yemen Thrush,VU,NT,N,2017-3
Uroglaux dimorpha,Papuan Hawk-owl,DD,LC,N,2017-3
Vini ultramarina,Ultramarine Lorikeet,EN,CR,N,2017-3
Vireo bairdi,Cozumel Vireo,LC,NT,N,2017-3
Xipholena atropurpurea,White-winged Cotinga,EN,VU,N,2017-3
REPTILES,,,,,
Achalinus werneri,Amami Takachiho Snake,VU,NT,N,2017-3
Acontias breviceps,Short-headed Legless Skink,NT,LC,N,2017-1
Acontias rieppeli,Woodbush Legless Skink,VU,EN,N,2017-1
Anadia pulchella,Ruthven's Anadia,VU,NT,N,2017-2
Aprasia aurita,Eared Worm-lizard,CR,NT,N,2017-3
Aspidites ramsayi,Woma,EN,LC,N,2017-3
Bitis inornata,Plain Mountain Adder,VU,EN,N,2017-1
Bradypodion dracomontanum,Drakensberg Dwarf Chameleon,LC,NT,N,2017-1
Bradypodion thamnobates,Natal Midlands Dwarf Chameleon,LR/nt,VU,N,2017-1
Calamaria pfefferi,Pfeffer's Reed Snake,DD,EN,N,2017-3
Callopistes maculatus,Spotted False Monitor,DD,LC,N,2017-2
Celestus duquesneyi,Blue-tailed Galliwasp,DD,CR,N,2017-2
Celestus occiduus,Jamaica Giant Galliwasp,EX,CR,N,2017-2
Chelonoidis chathamensis,San Cristóbal Giant Tortoise,VU,EN,N,2017-3
Chelonoidis duncanensis,Pinzón Giant Tortoise,EW,VU,N,2017-3
Chelonoidis porteri,Western Santa Cruz Giant Tortoise,EN,CR,N,2017-3
Contomastix vittata,,CR,VU,N,2017-2
Cordylus aridus,Dwarf Karoo Girdled Lizard,EN,LC,N,2017-1
Cordylus mclachlani,Mclachlan's Girdled Lizard,VU,LC,N,2017-1
Cryptactites peringueyi,Salt Marsh Gecko,DD,CR,N,2017-1
Ctenoblepharys adspersa,Cabezona,NT,VU,N,2017-2
Ctenophorus yinnietharra,Yinnietharra Rock Dragon,VU,LC,N,2017-3
Ctenotus lancelini,Lancelin Island Skink,VU,CR,N,2017-3
Ctenotus zastictus,Hamelin Ctenotus,VU,NT,G,2017-3
Delma impar,Striped Legless Lizard,VU,EN,G,2017-3
Denisonia maculata,Ornamental Snake,VU,DD,N,2017-3
Dipsas sanctijoannis,Tropical Snail-eater,DD,LC,N,2017-2
Echiopsis curta,Bardick,NT,LC,N,2017-3
Elapognathus minor,Little Brown Snake,LR/nt,LC,N,2017-3
Emoia nativitatis,Christmas Island Whiptail-skink,CR,EX,G,2017-3
Erythrolamprus williamsi,Williams' Ground Snake,EN,NT,N,2017-2
Gerrhosaurus typicus,Karoo Plated Lizard,LR/nt,LC,N,2017-1
Goggia gemmula,Richtersveld Pygmy Gecko,DD,NT,N,2017-1
Goggia microlepidota,Small-scaled Gecko,LR/nt,LC,N,2017-1
Goniurosaurus kuroiwae,Kuroiwa's Ground Gecko,EN,VU,N,2017-3
Gymnophthalmus pleii,Rough-scaled Worm Lizard,EN,NT,N,2017-2
Homopholis mulleri,Muller's Velvet Gecko,LR/nt,VU,G,2017-1
Homopus signatus,Speckled Dwarf Tortoise,LR/nt,VU,G,2017-1
Inyoka swazicus,Swazi Rock Snake,LR/nt,LC,N,2017-1
Lamprophis fiskii,Fisk's Snake,DD,LC,N,2017-1
Lamprophis fuscus,Yellow-bellied Snake,LR/nt,LC,N,2017-1
Lepidodactylus listeri,Christmas Island Chained Gecko,VU,EW,G,2017-3
Liolaemus curicensis,Curicen Tree Iguana,DD,LC,N,2017-2
Liolaemus curis,,DD,CR,N,2017-2
Liolaemus maldonadae,,DD,LC,N,2017-2
Liolaemus mapuche,,DD,LC,N,2017-2
Liolaemus paulinae,,DD,CR,N,2017-2
Liolaemus signifer,Zodiac Tree Iguana,LC,NT,N,2017-2
Liolaemus walkeri,,DD,NT,N,2017-2
Liolaemus williamsi,,DD,LC,N,2017-2
Ouroborus cataphractus,Armadillo Girdled Lizard,VU,LC,N,2017-1
Pareas iwasakii,Iwasaki's Snail-eater,DD,NT,N,2017-3
Perochirus ateles,Micronesia Saw-tailed Gecko,EN,VU,N,2017-3
Platysaurus relictus,Soutpansberg Flat Lizard,LR/nt,LC,G,2017-1
Plestiodon kishinouyei,Japanese Skink,LR/nt,VU,N,2017-3
Polychrus peruvianus,,DD,VU,N,2017-2
Pristidactylus alvaroi,,DD,EN,N,2017-2
Pristidactylus valeriae,,DD,EN,N,2017-2
