Scientific name,Common name,"IUCN Red List(2019)Category","IUCN RedList (2020)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Pipistrellus sturdeei,Bonin Pipistrelle,DD,EX,N,2020-2
Pithecia milleri,Miller's Saki,DD,VU,N,2020-2
Plecotus austriacus,Gray Big-eared Bat,LC,NT,N,2020-2
Plecturocebus brunneus,Brown Titi Monkey,LC,VU,G,2020-3
Presbytis femoralis,Banded Langur,NT,VU,N,2020-2
Presbytis potenziani,Golden-bellied Mentawai Island Langur,EN,CR,N,2020-2
Presbytis rubicunda,Red Langur,LC,VU,N,2020-2
Propithecus coquereli,Coquerel's Sifaka,EN,CR,G,2020-2
Propithecus coronatus,Crowned Sifaka,EN,CR,G,2020-2
Propithecus deckenii,Van der Decken's Sifaka,EN,CR,G,2020-2
Propithecus verreauxi,Verreaux's Sifaka,EN,CR,G,2020-2
Pteropus aldabrensis,Aldabra Flying-fox,VU,EN,G,2020-2
Pteropus conspicillatus,Spectacled Flying Fox,LC,EN,N,2020-3
Pteropus gilliardorum,Gilliard's Flying Fox,DD,VU,N,2020-2
Pteropus griseus,Gray Flying Fox,DD,VU,N,2020-3
Pteropus hypomelanus,Island Flying Fox,LC,NT,N,2020-2
Pteropus molossinus,Pohnpei Flying Fox,VU,EN,N,2020-2
Pteropus tuberculatus,Vanikoro Flying Fox,CR,EN,N,2020-2
Pteropus ualanus,Kosrae Flying Fox,VU,EN,N,2020-3
Pteropus vetulus,New Caledonia Flying Fox,VU,NT,N,2020-2
Punomys kofordi,,VU,NT,N,2020-3
Pygathrix nemaeus,Red-shanked Douc Langur,EN,CR,N,2020-2
Pygathrix nigripes,Black-shanked Douc Langur,EN,CR,N,2020-2
Rhinolophus guineensis,Guinean Horseshoe Bat,VU,EN,N,2020-2
Rhinolophus osgoodi,Osgood's Horseshoe Bat,DD,LC,N,2020-3
Rhinolophus rex,King Horseshoe Bat,LC,EN,N,2020-2
Rhinolophus ruwenzorii,Ruwenzori Horseshoe Bat,VU,EN,N,2020-2
Rhinolophus shortridgei,Shortridge's Horseshoe Bat,LC,DD,N,2020-2
Rhinolophus trifoliatus,Trefoil Horseshoe Bat,LC,NT,N,2020-2
Saguinus leucopus,Silvery-brown Tamarin,EN,VU,N,2020-3
Sapajus flavius,Blonde Capuchin,CR,EN,N,2020-2
Sciurocheirus alleni,Allen's Galago,LC,NT,G,2020-2
Semnopithecus hypoleucos,Black-footed Gray Langur,VU,LC,N,2020-2
Sicista armenica,Armenian Birch Mouse,EN,CR,N,2020-2
Sicista caucasica,Caucasian Birch Mouse,VU,NT,N,2020-2
Solenodon paradoxus,Hispaniolan Solenodon,EN,LC,N,2020-3
Sotalia fluviatilis,Tucuxi,DD,EN,N,2020-3
Spalax graecus,Balkan Blind Mole Rat,NT,VU,N,2020-2
Spermophilus citellus,European Souslik,VU,EN,G,2020-2
Strigocuscus celebensis,Small Sulawesi Cuscus,VU,NT,N,2020-2
Tadarida latouchei,La Touche's Free-tailed Bat,DD,EN,N,2020-2
