Scientific name,Common name,"IUCN Red List(2006)Category","IUCN RedList (2007)Category",Reason for change,"Red Listversion"
Sarcogyps calvus,Red-headed Vulture,LC,VU,G,2007
Sheppardia gunningi,East Coast Akalat,VU,NT,N,2007
Siphonorhis brewsteri,Least Pauraque,DD,NT,N,2007
Trigonoceps occipitalis,White-headed Vulture,LC,VU,N,2007
REPTILES,,,,,
Aspidoscelis hyperythra,Orangethroat Whiptail,DD,LC,N,2007
Gavialis gangeticus,Gharial,EN,CR,G,2007
Heloderma horridum,Beaded Lizard,VU,LC,N,2007
Heloderma suspectum,Gila Monster,VU,NT,N,2007
Kinosternon creaseri,Yucatan Mud Turtle,LR/nt,LC,N,2007
Kinosternon oaxacae,Oaxaca Mud Turtle,LR/nt,DD,N,2007
Rhinoclemmys rubida,Mexican Spotted Wood Turtle,VU,NT,N,2007
Thamnophis hammondii,Two-striped Gartersnake,DD,LC,N,2007
Xantusia riversiana,Island Night Lizard,VU,LC,N,2007
FISHES,,,,,
Serranochromis meridianus,Lowveld Largemouth,LR/cd,EN,G,2007
Sphyrna mokarran,Great Hammerhead Shark,DD,EN,N,2007
Squatina aculeata,Sawback Angelshark,EN,CR,N,2007
Squatina guggenheim,Hidden Angelshark,VU,EN,N,2007
Squatina oculata,Smoothback Angelshark,EN,CR,N,2007
Croilia mossambica,Burrowing Goby,LR/nt,LC,N,2007
Barbus andrewi,Berg-Breede River Whitefish,VU,EN,N,2007
Barbus brevipinnis,Shortfin Barb,VU,NT,N,2007
Barbus calidus,Clanwilliam Redfin,EN,VU,N,2007
Barbus hospes,Namaquab Barb,LR/nt,LC,N,2007
Barbus treurensis,Treur River Barb,LR/cd,EN,N,2007
Barbus trevelyani,Border Barb,CR,EN,N,2007
Labeo seeberi,Clanwilliam Sandfish,CR,EN,N,2007
Opsaridium peringueyi,Southern Barred Minnow,VU,LC,N,2007
Pseudobarbus afer,Eastern Cape Redfin,LR/nt,EN,N,2007
Pseudobarbus asper,Smallscale Redfin,VU,EN,N,2007
Pseudobarbus burchelli,Tradou Redfin,EN,CR,N,2007
Pseudobarbus burgi,Berg River Redfin,CR,EN,N,2007
Pseudobarbus quathlambae,Maloti Redfin,CR,EN,N,2007
Pseudobarbus tenuis,Slender Redfin,EN,NT,N,2007
Nothobranchius kafuensis,Caprivi Killifish,EN,LC,N,2007
Nothobranchius kirki,Kirk's Killifish,DD,LC,N,2007
Nothobranchius orthonotus,Spotted Killifish,VU,LC,N,2007
Sandelia capensis,Cape Kurper,LR/lc,DD,N,2007
Chetia brevis,Orange-Fringed River Bream,VU,EN,N,2007
Redigobius dewaali,Checked Goby,LR/nt,LC,N,2007
Silhouettea sibayi,Sibayi Goby,LR/nt,EN,N,2007
Cromileptes altivelis,Humpback Grouper,DD,VU,N,2007
Mycteroperca jordani,Gulf Grouper,VU,EN,N,2007
Galaxias zebratus,Cape Galaxias,LR/nt,DD,N,2007
Austroglanis barnardi,Spotted Rock Catfish,CR,EN,N,2007
Austroglanis sclateri,Rock Catfish,DD,LC,N,2007
Chiloglanis bifurcus,Incomati Suckermouth,CR,EN,N,2007
INVERTEBRATES,,,,,
Aciagrion heterosticta,,LC,DD,N,2007
Aeshna persephone,Persephone's Darner,VU,LC,N,2007
Africallagma cuneistigma,,EN,VU,N,2007
Anoglypta launcestonensis,Granulated Tasmanian Snail,VU,NT,N,2007
Bellamya monardi,,EN,NT,N,2007
Biomphalaria angulosa,,LR/nt,LC,N,2007
Biomphalaria salinarum,,LR/nt,DD,N,2007
Bulinus canescens,,LR/nt,LC,N,2007
Discocharopa mimosa,,DD,LC,N,2007
Ecchlorolestes nylephtha,Queen Malachite,LC,NT,N,2007
Enallagma recurvatum,Pine Barrens Bluet,VU,LC,N,2007
Gomphus consanguis,Cherokee Clubtail,VU,EN,N,2007
Gomphus sandrius,Tennessee Clubtail,EN,VU,N,2007
Gomphus septima,Septima's Clubtail,VU,LC,N,2007
Ischnura gemina,San Francisco Forktail,EN,VU,N,2007
Lanistes neavei,,VU,LC,N,2007
Metacnemis angusta,Ceres Stream-Damsel,DD,VU,N,2007
Nehalennia pallidula,Everglades Sprite,VU,NT,N,2007
Neurogomphus dissimilis,,LC,DD,N,2007
Notogomphus zernyi,,LC,DD,N,2007
Ophiogomphus acuminatus,Acuminate Snaketail,VU,NT,N,2007
Ophiogomphus anomalus,Extra-striped Snaketail,LR/nt,LC,N,2007
Ophiogomphus howei,Pygmy Snaketail,VU,LC,N,2007
Paragomphus cataractae,Cataract Hooktail,VU,NT,N,2007
"",,,,,
Pila occidentalis,,LR/nt,LC,N,2007
Planilaoma luckmanii,,DD,LC,N,2007
Progomphus bellei,Belle's Sanddragon,VU,NT,N,2007
Somatochlora hineana,Hine's Emerald,EN,NT,N,2007
PLANTS,,,,,
Afrocarpus dawei,,LR/lc,NT,N,2007
Afrocarpus usambarensis,,DD,VU,N,2007
Chlorocardium rodiei,Greenheart,VU,DD,N,2007
Dacrydium cornwalliana,,DD,LC,N,2007
Dacrydium leptophyllum,,DD,VU,N,2007
Dacrydium spathoides,,DD,NT,N,2007
Falcatifolium sleumeri,,DD,NT,N,2007
Hopea subalata,Giam,EN,CR,N,2007
Microbiota decussata,,DD,LC,N,2007
Nageia fleuryi,,DD,NT,N,2007
Pinus bhutanica,,DD,LC,N,2007
Pinus bungeana,,DD,LC,N,2007
Pinus dalatensis,,VU,DD,N,2007
Pinus greggii,,DD,NT,N,2007
Podocarpus acuminatus,,DD,NT,N,2007
