Scientific name,Common name,"IUCN Red List(2009)Category","IUCN RedList (2010)Category","Reason forchange","Red Listversion"
Boyeria cretensis,Cretan Spectre,VU,EN,N,2010
Burmagomphus sivalikensis,,CR,LC,N,2010
Cephalaeschna acutifrons,,VU,DD,N,2010
Ceriagrion georgifreyi,Turkish Red Damsel,NT,VU,N,2010
Ceriagrion mourae,,DD,LC,N,2010
Chlorocnemis contraria,Red-backed Yellowwing,VU,LC,N,2010
Chlorocnemis pauli,Orange-tipped Threadtail,NT,LC,N,2010
Chlorocnemis wittei,,DD,LC,N,2010
Chlorocypha dahli,,DD,LC,N,2010
Chlorocypha frigida,,DD,LC,N,2010
Chlorocypha hasta,,DD,VU,N,2010
Chlorocypha jacksoni,,VU,NT,N,2010
Chlorocypha molindica,,EN,NT,N,2010
Chlorocypha schmidti,,EN,VU,N,2010
Chlorolestes elegans,Elegant Malachite,NT,VU,G,2010
Congothemis leakeyi,,DD,LC,N,2010
Congothemis longistyla,,DD,LC,N,2010
Cordulegaster heros,Balkan Goldenring,LC,NT,N,2010
Cordulegaster trinacriae,Italian Goldenring,VU,NT,N,2010
Diastatomma soror,,DD,LC,N,2010
Ecchlorolestes nylephtha,Queen Malachite,NT,NT,N,2010
Elattoneura cellularis,,DD,LC,N,2010
Elattoneura lliba,,DD,LC,N,2010
Gynacantha immaculifrons,,DD,LC,N,2010
Hadrothemis scabrifrons,Red Jungle-skimmer,NT,LC,N,2010
Ictinogomphus dundoensis,Swamp Tigertail,DD,LC,N,2010
Idomacromia jillianae,,VU,DD,N,2010
Lokia coryndoni,,EN,LC,N,2010
Lokia ellioti,,DD,LC,N,2010
Lokia erythromelas,,DD,LC,N,2010
Metacnemis angusta,Ceres Stream-damsel,VU,VU,N,2010
Nesciothemis fitzgeraldi,,DD,LC,N,2010
Neurogomphus dissimilis,,DD,LC,N,2010
Onychogomphus costae,Faded Pincertail,VU,NT,N,2010
Onychogomphus seydeli,,DD,LC,N,2010
Onychogomphus styx,,NT,LC,N,2010
Palpopleura albifrons,,DD,LC,N,2010
Paragomphus alluaudi,,DD,LC,N,2010
Paragomphus lacustris,,DD,LC,N,2010
