Scientific name,Common name,"IUCN Red List(2007)Category","IUCN RedList (2008)Category",Reason for change,"Red Listversion"
Petinomys vordermanni,Vordermann's Flying Squirrel,LR/lc,VU,G,2008
Pteromyscus pulverulentus,Smoky Flying Squirrel,LR/nt,EN,G,2008
Ratufa bicolor,Black Giant Squirrel,LR/lc,NT,G,2008
Rhinosciurus laticaudatus,Shrew-faced Squirrel,LR/lc,NT,G,2008
Rubrisciurus rubriventer,Sulawesi Giant Squirrel,LR/lc,VU,G,2008
Spermophilus perotensis,Perote Ground Squirrel,LR/nt,EN,G,2008
Spermophilus xanthoprymnus,Asia Minor Ground Squirrel,LR/lc,NT,G,2008
Spalax arenarius,Sandy Mole Rate,VU,EN,G,2008
Spalax zemni,Podolian Mole Rat,LR/lc,VU,G,2008
BIRDS,,,,,
Ducula galeata,Marquesan Imperial-pigeon,CR,EN,G,2008
Apteryx owenii,Little Spotted Kiwi,VU,NT,G,2008
Aythya baeri,Baer's Pochard,VU,EN,G,2008
Sterna nereis,Fairy Tern,LC,VU,G,2008
Eurynorhynchus pygmeus,Spoon-billed Sandpiper,EN,CR,G,2008
Numenius arquata,Eurasian Curlew,LC,NT,G,2008
Ducula finschii,Finsch's Imperial-pigeon,LC,NT,G,2008
Ducula rubricera,Red-knobbed Imperial-pigeon,LC,NT,G,2008
Reinwardtoena browni,Pied Cuckoo-dove,LC,NT,G,2008
Centropus violaceus,Violaceous Coucal,LC,NT,G,2008
Accipiter princeps,New Britain Goshawk,NT,VU,G,2008
Pauxi pauxi,Helmeted Curassow,VU,EN,G,2008
Tetrao mlokosiewiczi,Caucasian Grouse,DD,NT,G,2008
Atrichornis rufescens,Rufous Scrub-bird,NT,VU,G,2008
Coracina newtoni,Réunion Cuckooshrike,EN,CR,G,2008
Corvus kubaryi,Mariana Crow,EN,CR,G,2008
Loxops caeruleirostris,Akekee,EN,CR,G,2008
Stipiturus mallee,Mallee Emuwren,VU,EN,G,2008
Melidectes whitemanensis,Bismarck Melidectes,LC,NT,G,2008
Mimus trifasciatus,Floreana Mockingbird,EN,CR,G,2008
Megalurulus grosvenori,Bismarck Thicketbird,DD,VU,G,2008
Sylvia undata,Dartford Warbler,LC,NT,G,2008
Diomedea dabbenena,Tristan Albatross,EN,CR,G,2008
Cacatua ophthalmica,Blue-eyed Cockatoo,LC,VU,G,2008
Ninox odiosa,Russet Hawk-owl,LC,VU,G,2008
Tyto aurantia,Bismarck Masked-owl,DD,VU,G,2008
REPTILES,,,,,
Crocodylus rhombifer,Cuban Crocodile,EN,CR,G,2008
Erymnochelys madagascariensis,Madagascar Big-headed Turtle,EN,CR,G,2008
