Scientific name,Common name,"IUCN Red List(2010)Category","IUCN RedList (2011)Category","Reason forchange","Red Listversion"
Chilostoma ziegleri,,DD,NT,N,2011.1
Cochlostoma obscurum,,LC,NT,N,2011.2
Codringtonia codringtonii,Rock Snail,DD,EN,N,2011.1
Cornu mazzullii,,VU,EN,G,2011.1
Craspedopoma lyonnetianum,,LR/cd,VU,N,2011.1
Craspedopoma trochoideum,,LR/cd,LC,N,2011.1
Cryptosaccus asturiensis,,LR/nt,VU,N,2011.1
Cylindrus obtusus,,LR/nt,LC,N,2011.1
Discula bulverii,,EN,CR,N,2011.1
Discula cheiranthicola,,VU,NT,N,2011.1
Discula tabellata,Madeiran Land Snail,EN,CR,N,2011.1
Discula tectiformis,,VU,EN,N,2011.1
Discus guerinianus,Madeiran Land Snail,EN,CR,G,2011.1
Elimia albanyensis,Black-crest Elimia,VU,LC,N,2011.2
Elimia cahawbensis,Cahaba Elimia,DD,LC,N,2011.2
Elimia fascinans,Banded Elimia,VU,LC,N,2011.2
Elimia troostiana,Mossy Elimia,VU,CR(PE),N,2011.2
Elliptio angustata,Carolina Lance,LR/nt,LC,N,2011.2
Elliptio downiei,Satilla Elephantear,LR/nt,LC,N,2011.2
Elliptio folliculata,Pod Lance,LR/nt,LC,N,2011.2
Elliptio hopetonensis,Altamaha Slabshell,LR/nt,LC,N,2011.2
Elliptio producta,Atlantic Spike,LR/nt,LC,N,2011.2
Fagotia esperi,,DD,LC,N,2011.2
Falkneria camerani,,CR,VU,N,2011.1
Falniowskia neglectissima,,LR/nt,DD,N,2011.2
Faustina cingulella,,LR/nt,LC,N,2011.1
Fenouilia kreitneri,,CR,EN,N,2011.2
Ferrissia mcneili,Hood Ancylid,VU,LC,N,2011.2
Fissuria boui,,VU,NT,N,2011.1
Fluvidona petterdi,,VU,CR,N,2011.2
Fonscochlea aquatica,,VU,EN,N,2011.2
Fusconaia ozarkensis,Ozark Pigtoe,LR/nt,LC,N,2011.2
Gittenbergeria turriplana,,LR/lc,NT,N,2011.1
Glyptophysa petiti,,EN,DD,N,2011.2
Gyraulus mauritianus,,VU,LC,N,2011.2
Helicella stiparum,,VU,EN,N,2011.1
Helicella striatitala,,LR/nt,LC,N,2011.1
Helix godetiana,,LR/nt,EN,N,2011.1
Hemicycla berkeleii,,LR/nt,DD,N,2011.1
Hemicycla inutilis,,LR/cd,VU,G,2011.1
Hemicycla mascaensis,,LR/nt,CR,N,2011.1
Hemicycla modesta,,LR/lc,CR,N,2011.1
Hemicycla plicaria,,LR/lc,CR,N,2011.1
Hemicycla pouchadan,,VU,EN,N,2011.1
Hemicycla pouchet,,LR/cd,VU,N,2011.1
Hemistomia beaumonti,,EN,DD,N,2011.2
Hemistomia minutissima,,VU,LC,N,2011.2
Hystricella bicarinata,,VU,NT,N,2011.1
Hystricella echinulata,,VU,LC,N,2011.1
Hystricella oxytropis,,VU,NT,N,2011.1
Ichnusomunda sacchii,,VU,CR,N,2011.1
Idiomela subplicata,,VU,CR,N,2011.1
Jardinella carnarvonensis,,VU,LC,N,2011.2
Jardinella exigua,,VU,EN,N,2011.2
Jardinella zeidlerorum,,VU,EN,N,2011.2
Lampadia webbiana,,VU,EN,G,2011.1
Lasmigona holstonia,Tennessee Heelsplitter,LR/nt,LC,N,2011.2
Lauria fanalensis,,VU,LC,N,2011.1
Leiostyla calathiscus,,VU,NT,N,2011.1
Leiostyla cheilogona,,VU,LC,N,2011.1
Leiostyla concinna,,VU,EN,G,2011.1
Leiostyla degenerata,,VU,NT,G,2011.1
Leiostyla heterodon,,CR,VU,N,2011.1
Leiostyla laurinea,,LR/cd,VU,N,2011.1
Leiostyla monticola,,VU,LC,N,2011.1
Leiostyla relevata,,VU,NT,G,2011.1
Leiostyla vermiculosa,,VU,DD,N,2011.1
Lemniscia galeata,,DD,CR,N,2011.1
Lemniscia michaudi,,VU,NT,G,2011.1
Leptaxis terceirana,,VU,LC,N,2011.1
Leptoxis plicata,Plicate Rocksnail,VU,CR,N,2011.2
Lithasia jayana,Rugose Rocksnail,VU,DD,N,2011.2
Lithasia lima,Elk River File Snail,VU,DD,N,2011.2
Lithasia verrucosa,Verrucose File Snail,VU,LC,N,2011.2
Napaeus nanodes,,LR/cd,EN,N,2011.1
Nitia monceti,,DD,LC,N,2011.2
Orcula austriaca,,DD,LC,N,2011.1
Orcula fuchsi,,LR/nt,CR,G,2011.1
Orcula pseudodolium,,DD,NT,N,2011.1
Petasina subtecta,,DD,NT,N,2011.1
Phrantela pupiformis,,VU,LC,N,2011.2
Phrantela umbilicata,,VU,LC,N,2011.2
Pisidium fultoni,,LR/nt,DD,N,2011.2
Platyla maasseni,,DD,VU,N,2011.1
Platyla microspira,,DD,LC,N,2011.1
Platyla orthostoma,,DD,NT,N,2011.1
Platyla peloponnesica,,DD,VU,N,2011.1
Pleurobema beadleianum,Mississippi Pigtoe,LR/nt,LC,N,2011.2
Pleurocera postelli,Broken Hornsnail,VU,DD,N,2011.2
Pleurocera pyrenella,Skirted Hornsnail,VU,NT,N,2011.2
Plutonia machadoi,,LR/nt,CR,N,2011.1
Plutonia reticulata,,EN,CR,G,2011.1
Pseudanodonta complanata,Depressed River Mussel,LR/nt,VU,G,2011.2
Pseudocampylaea portosanctana,,LR/nt,LC,N,2011.1
Pyrenaearia cotiellae,,LR/nt,VU,N,2011.1
Pyrenaearia molae,,VU,CR,N,2011.1
Pyrenaearia navasi,,LR/nt,VU,N,2011.1
Pyrenaearia organiaca,,LR/nt,EN,N,2011.1
Pyrenaearia parva,,LR/nt,VU,N,2011.1
Pyrenaearia velascoi,,LR/nt,VU,N,2011.1
Pyrgulopsis avernalis,Moapa Pebblesnail,EN,VU,N,2011.2
Pyrgulopsis robusta,Jackson Lake Springsnail,DD,LC,N,2011.2
Quadrula succissa,Purple Pigtoe,LR/nt,LC,N,2011.2
Renea bourguignatiana,,VU,CR,G,2011.1
Solatopupa guidoni,,LR/lc,DD,N,2011.1
Solatopupa psarolena,,LR/nt,VU,N,2011.1
Somatogyrus biangulatus,Angular Pebblesnail,CR,DD,N,2011.2
Somatogyrus decipiens,Hidden Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus excavatus,Ovate Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus obtusus,Moon Pebblesnail,CR(PE),DD,N,2011.2
Somatogyrus tenax,Savannah Pebblesnail,DD,NT,N,2011.2
Spirorbula latens,,VU,LC,N,2011.1
Spirorbula obtecta,,LR/nt,LC,N,2011.1
Suboestophora altamirai,,LR/nt,VU,G,2011.1
Suboestophora hispanica,,LR/nt,VU,G,2011.1
Tacheocampylaea raspailii,,DD,VU,N,2011.1
Theba arinagae,,VU,CR,G,2011.1
Theodoxus transversalis,Striped Nerite,DD,EN,N,2011.2
Thyrreniellina josephi,,VU,NT,N,2011.1
Trochidrobia punicea,,LR/nt,LC,N,2011.2
Trochulus caelatus,,DD,NT,N,2011.1
Trochulus caelatus,,DD,NT,N,2011.1
Trochulus graminicola,,DD,NT,N,2011.1
Trochulus oreinos,,DD,NT,N,2011.1
Unio crassus,Thick Shelled River Mussel,LR/nt,EN,N,2011.2
Vallonia suevica,,DD,EN,N,2011.1
Valvata utahensis,Utah Roundmouth Snail,DD,VU,N,2011.2
Vertigo genesii,Round-mouthed Whorl Snail,LR/cd,LC,N,2011.2
Vertigo geyeri,Geyer’s Whorl Snail,LR/cd,LC,N,2011.2
Victodrobia burni,,VU,LC,N,2011.2
Victodrobia elongata,,VU,LC,N,2011.2
Viviparus acerosus,,LR/nt,LC,N,2011.2
Westralunio carteri,,VU,LC,N,2011.2
Xerocrassa molinae,,VU,NT,N,2011.1
Xerocrassa montserratensis,,LR/nt,EN,G,2011.1
Xerosecta adolfi,,LR/nt,EN,N,2011.1
Xerotricha gasulli,,LR/nt,EN,G,2011.1
Xerotricha mariae,,VU,DD,N,2011.1
Xerotricha zujarensis,,LR/nt,DD,N,2011.1
FLOWERING PLANTS,,,,,
Allium rouyi,,CR,LC,N,2011.1
Anchusa crispa,,CR,EN,N,2011.1
Campnosperma seychellarum,,EN,CR,N,2011.2
Centranthus trinervis,,CR,EN,G,2011.1
Colea seychellarum,,VU,EN,N,2011.2
Craterispermum microdon,,VU,EN,N,2011.2
Deckenia nobilis,,EN,VU,N,2011.2
Dillenia ferruginea,,VU,NT,N,2011.2
Diospyros seychellarum,,VU,NT,N,2011.2
Erythroxylum sechellarum,,VU,LC,N,2011.2
Glionnetia sericea,,VU,EN,N,2011.2
Grisollea thomassetii,,VU,CR,N,2011.2
Ixora pudica,,VU,NT,N,2011.2
Limonium strictissimum,,CR,EN,N,2011.1
Lodoicea maldivica,Coco de Mer,VU,EN,N,2011.1
Memecylon elaeagni,,VU,LC,N,2011.2
Mimusops sechellarum,,VU,NT,N,2011.2
Nephrosperma van-houtteanum,,LR/nt,LC,N,2011.2
Pandanus multispicatus,,VU,NT,N,2011.2
Pandanus sechellarum,Seychelles Pandanus,VU,NT,N,2011.2
Phoenicophorium borsigianum,,LR/nt,LC,N,2011.2
Rothmannia annae,Wright's Gardenia,VU,CR,N,2011.2
Schefflera procumbens,,VU,CR,N,2011.2
Silene hicesiae,,CR,VU,G,2011.1
Verschaffeltia splendida,,LR/cd,NT,N,2011.2
Zelkova abelicea,,VU,EN,N,2011.2
CONIFERS,,,,,
Abies cephalonica,Greek Fir,LR/nt,LC,N,2011.2
Abies koreana,Korean Fir,LR/nt,EN,N,2011.2
Abies numidica,,VU,CR,N,2011.2
Abies pinsapo,,LR/nt,EN,G,2011.2
Abies spectabilis,,LR/lc,NT,N,2011.2
