Ceblepyris cucullatus,Comoro Cuckooshrike,VU,EN,N,2021-3
Ceblepyris graueri,Grauer's Cuckooshrike,NT,LC,N,2021-3
Centropus violaceus,Violaceous Coucal,NT,LC,N,2021-3
Ceyx fallax,Sulawesi Dwarf-kingfisher,NT,LC,N,2021-3
Chaetocercus bombus,Little Woodstar,VU,NT,N,2021-3
Charadrius javanicus,Javan Plover,NT,LC,N,2021-3
Charadrius pallidus,Chestnut-banded Plover,NT,LC,N,2021-3
Chelictinia riocourii,Scissor-tailed Kite,LC,VU,G,2021-3
Colaptes fernandinae,Fernandina's Flicker,VU,EN,G,2021-3
Conopophaga cearae,Ceara Gnateater,LC,NT,N,2021-3
Cossypha heinrichi,White-headed Robin-chat,VU,LC,N,2021-3
Crax alector,Black Curassow,VU,LC,N,2021-3
Crossleyia xanthophrys,Madagascar Yellowbrow,NT,LC,N,2021-3
Ducula aenea,Green Imperial-pigeon,LC,NT,N,2021-3
Ducula bakeri,Vanuatu Imperial-pigeon,VU,LC,N,2021-3
Ducula brenchleyi,Chestnut-bellied Imperial-pigeon,VU,NT,G,2021-3
Ducula rubricera,Red-knobbed Imperial-pigeon,NT,LC,N,2021-3
Eleothreptus anomalus,Sickle-winged Nightjar,NT,VU,G,2021-3
Emberizoides duidae,Duida Grass-finch,NT,DD,N,2021-3
Erythropitta ussheri,Black-crowned Pitta,NT,LC,N,2021-3
Eupherusa poliocerca,White-tailed Hummingbird,VU,NT,N,2021-3
Falco vespertinus,Red-footed Falcon,NT,VU,G,2021-3
Geokichla crossleyi,Crossley's Ground-thrush,NT,LC,N,2021-3
Geokichla guttata,Spotted Ground-thrush,EN,VU,N,2021-3
Geospiza pallida,Woodpecker Finch,VU,NT,N,2021-3
Glareola ocularis,Madagascar Pratincole,VU,NT,N,2021-3
Glaucis dohrnii,Hook-billed Hermit,EN,VU,N,2021-3
Graminicola striatus,Chinese Grass-babbler,VU,NT,N,2021-3
Grus japonensis,Red-crowned Crane,EN,VU,G,2021-3
Gyps coprotheres,Cape Vulture,EN,VU,N,2021-3
Habia gutturalis,Sooty Ant-tanager,NT,LC,N,2021-3
Hapalopsittaca amazonina,Rusty-faced Parrot,VU,NT,N,2021-3
Hapalopsittaca fuertesi,Indigo-winged Parrot,CR,EN,G,2021-3
Hapalopsittaca pyrrhops,Red-faced Parrot,VU,LC,N,2021-3
Harpia harpyja,Harpy Eagle,NT,VU,N,2021-3
Icterus northropi,Bahama Oriole,CR,EN,N,2021-3
Indicator pumilio,Dwarf Honeyguide,NT,LC,N,2021-3
Kupeornis chapini,Chapin's Mountain-babbler,NT,LC,N,2021-3
Kupeornis rufocinctus,Red-collared Mountain-babbler,NT,EN,N,2021-3
Larus armenicus,Armenian Gull,NT,LC,G,2021-3
Lepidothrix vilasboasi,Golden-crowned Manakin,VU,LC,N,2021-3
Linaria johannis,Warsangli Linnet,EN,NT,N,2021-3
Loriculus exilis,Pygmy Hanging-parrot,NT,LC,N,2021-3
Loriculus tener,Bismarck Hanging-parrot,NT,LC,G,2021-3
Macrocephalon maleo,Maleo,EN,CR,G,2021-3
Malimbus ballmanni,Gola Malimbe,EN,NT,N,2021-3
Megapodius geelvinkianus,Biak Scrubfowl,VU,NT,N,2021-3
Megapodius laperouse,Micronesian Scrubfowl,EN,NT,N,2021-3
Melanopareia maranonica,Maranon Crescentchest,NT,LC,N,2021-3
Mentocrex beankaensis,Tsingy Wood-rail,NT,VU,N,2021-3
Microcarbo coronatus,Crowned Cormorant,NT,LC,N,2021-3
Mitu tuberosum,Razor-billed Curassow,LC,NT,G,2021-3
Molothrus armenti,Bronze-brown Cowbird,VU,NT,N,2021-3
Myiothlypis basilica,Santa Marta Warbler,VU,NT,N,2021-3
Neopelma aurifrons,Wied's Tyrant-manakin,VU,NT,N,2021-3
Nesillas mariae,Moheli Brush-warbler,LC,EN,N,2021-3
Nesospiza wilkinsi,Wilkins's Finch,EN,CR,G,2021-3
Nisaetus nipalensis,Mountain Hawk-eagle,LC,NT,G,2021-3
Odontophorus dialeucos,Tacarcuna Wood-quail,VU,LC,N,2021-3
Odontophorus gujanensis,Marbled Wood-quail,NT,LC,N,2021-3
Oreotrochilus adela,Wedge-tailed Hillstar,NT,LC,N,2021-3
Otidiphaps insularis,Black-naped Pheasant-pigeon,EN,CR,N,2021-3
Otus insularis,Seychelles Scops-owl,EN,CR,N,2021-3
Oxyura maccoa,Maccoa Duck,VU,EN,G,2021-3
Paradisornis rudolphi,Blue Bird-of-paradise,VU,NT,N,2021-3
Patagioenas subvinacea,Ruddy Pigeon,VU,LC,N,2021-3
Penelope perspicax,Cauca Guan,EN,VU,N,2021-3
Penelope purpurascens,Crested Guan,LC,NT,N,2021-3
Penelope superciliaris,Rusty-margined Guan,LC,NT,G,2021-3
Phyllanthus atripennis,Grey-hooded Capuchin Babbler,NT,VU,N,2021-3
