Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Bradypodion taeniabronchum,Elandsberg Dwarf Chameleon,EN,LC,N,2018-2
Bradypodion thamnobates,Natal Midlands Dwarf Chameleon,VU,EN,N,2018-2
Bronchocela smaragdina,Gunther's Bloodsucker,VU,LC,N,2018-2
Carettochelys insculpta,Pig-nosed Turtle,VU,EN,G,2018-2
Casarea dussumieri,Keel-scaled Boa,EN,VU,N,2018-2
Chamaesaura aenea,Coppery Grass Lizard,NT,LC,N,2018-2
Chamaesaura macrolepis,Large-scaled Grass Lizard,NT,LC,N,2018-2
Chersobius boulengeri,Karoo Dwarf Tortoise,NT,EN,G,2018-2
Chersobius signatus,Speckled Dwarf Tortoise,VU,EN,G,2018-2
Cnemaspis argus,Argus Rock Gecko,DD,LC,N,2018-2
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,LR/nt,LC,N,2018-1
Cordylus imkeae,Rooiberg Girdled Lizard,NT,LC,N,2018-2
Cordylus macropholis,Large-scaled Girdled Lizard,NT,LC,N,2018-2
Cordylus niger,Black Girdled Lizard,NT,LC,N,2018-2
Cordylus oelofseni,Oelofsen's Girdled Lizard,NT,LC,N,2018-2
Cryptactites peringueyi,Salt Marsh Gecko,CR,NT,G,2018-2
Cyrtodactylus annandalei,,DD,LC,N,2018-2
Cyrtodactylus brevidactylus,,DD,EN,N,2018-2
Cyrtodactylus chrysopylos,,DD,VU,N,2018-2
Cyrtodactylus sumonthai,Sumontha's Gecko,DD,LC,N,2018-2
Cyrtodactylus sworderi,Johore Bow-fingered Gecko,DD,EN,N,2018-2
Delma labialis,Single-striped Delma,VU,LC,N,2018-1
Delma torquata,Collared Delma,VU,LC,N,2018-1
Demansia torquata,Collared Whip Snake,DD,LC,N,2018-1
Dixonius melanostictus,Black-spotted Leaf-toed Gecko,DD,LC,N,2018-2
Draco cornutus,,DD,LC,N,2018-2
Eulamprus luteilateralis,Orange-speckled Forest-skink,LC,DD,N,2018-1
