Scientific name,Common name,"IUCN Red List(2021)Category","IUCN RedList (2022)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Polyplectron malacense,Malay Peacock-pheasant,VU,EN,G,2022-1
Prionodura newtoniana,Golden Bowerbird,LC,NT,G,2022-1
Psilorhamphus guttatus,Spotted Bamboowren,NT,LC,N,2022-1
Pterodroma alba,Phoenix Petrel,EN,VU,N,2022-1
Pterodroma solandri,Providence Petrel,VU,LC,N,2022-1
Pteroglossus sturmii,Western Red-necked Araçari,NT,LC,N,2022-1
Ptilinopus roseicapilla,Mariana Fruit-dove,EN,NT,N,2022-1
Pycnoptilus floccosus,Pilotbird,LC,VU,G,2022-1
Pyrilia barrabandi,Orange-cheeked Parrot,NT,LC,N,2022-1
Pyrilia caica,Caica Parrot,NT,LC,N,2022-1
Pyrilia vulturina,Vulturine Parrot,VU,LC,N,2022-1
Pyrrhura amazonum,Santarem Parakeet,EN,NT,N,2022-1
Pyrrhura devillei,Blaze-winged Parakeet,NT,LC,N,2022-1
Pyrrhura eisenmanni,Azuero Parakeet,EN,VU,N,2022-1
Pyrrhura perlata,Crimson-bellied Parakeet,VU,LC,N,2022-1
Pyrrhura snethlageae,Madeira Parakeet,VU,LC,N,2022-1
Ramphastos culminatus,Yellow-ridged Toucan,VU,LC,N,2022-1
Ramphastos tucanus,Red-billed Toucan,VU,LC,N,2022-1
Ramphastos vitellinus,Channel-billed Toucan,VU,LC,N,2022-1
Rhabdornis rabori,Visayan Rhabdornis,VU,LC,N,2022-1
Rhynchortyx cinctus,Tawny-faced Quail,LC,NT,G,2022-1
Sarothrura watersi,Slender-billed Flufftail,EN,NT,N,2022-1
Scenopoeetes dentirostris,Tooth-billed Bowerbird,LC,NT,G,2022-1
Scytalopus sanctaemartae,Santa Marta Tapaculo,LC,NT,G,2022-1
Scytalopus unicolor,Unicolored Tapaculo,LC,NT,N,2022-1
Sericornis keri,Atherton Scrubwren,LC,VU,G,2022-1
Spelaeornis longicaudatus,Tawny-breasted Wren-babbler,VU,NT,N,2022-1
Spilornis kinabaluensis,Kinabalu Serpent-eagle,VU,NT,N,2022-1
Stagonopleura guttata,Diamond Firetail,LC,VU,G,2022-1
Strix hylophila,Rusty-barred Owl,NT,LC,N,2022-1
Suthora przewalskii,Rusty-throated Parrotbill,VU,LC,N,2022-1
Sylviorthorhynchus yanacensis,Tawny Tit-spinetail,NT,LC,N,2022-1
Symposiachrus julianae,Kofiau Monarch,VU,NT,N,2022-1
Synallaxis cabanisi,Cabanis's Spinetail,NT,LC,N,2022-1
Synallaxis cherriei,Chestnut-throated Spinetail,NT,LC,N,2022-1
Synallaxis fuscorufa,Rusty-headed Spinetail,VU,NT,N,2022-1
Synallaxis moesta,Dusky Spinetail,NT,LC,N,2022-1
Tangara fucosa,Green-naped Tanager,NT,LC,N,2022-1
Tanysiptera ellioti,Kofiau Paradise-kingfisher,VU,NT,N,2022-1
Tauraco ruspolii,Ruspoli's Turaco,VU,NT,N,2022-1
Terpsiphone bedfordi,Bedford's Paradise-flycatcher,NT,LC,N,2022-1
Thripophaga amacurensis,Delta Amacuro Softtail,EN,VU,N,2022-1
Thryophilus sernai,Antioquia Wren,EN,VU,N,2022-1
Touit huetii,Scarlet-shouldered Parrotlet,VU,LC,N,2022-1
Touit melanonotus,Brown-backed Parrotlet,VU,NT,N,2022-1
Triclaria malachitacea,Blue-bellied Parrot,NT,LC,N,2022-1
Turnix hottentottus,Fynbos Buttonquail,EN,LC,N,2022-1
Turnix melanogaster,Black-breasted Buttonquail,NT,VU,N,2022-1
Turnix olivii,Buff-breasted Buttonquail,EN,CR,N,2022-1
Xenopirostris xenopirostris,Lafresnaye's Vanga,LC,NT,G,2022-1
Zanda baudinii,Baudin's Black-cockatoo,EN,CR,G,2022-1
Zebrilus undulatus,Zigzag Heron,NT,LC,N,2022-1
Zimmerius villarejoi,Mishana Tyrannulet,VU,LC,N,2022-1
Zosterops griseovirescens,Annobon White-eye,VU,LC,N,2022-1
Zosterops luteirostris,Gizo White-eye,EN,VU,N,2022-1
Zosterops natalis,Christmas Island White-eye,NT,LC,N,2022-1
Zosterops saypani,Saipan White-eye,EN,NT,N,2022-1
Zosterops splendidus,Ranongga White-eye,VU,LC,N,2022-1
Zosterops tenuirostris,Slender-billed White-eye,NT,VU,N,2022-1
Zosterops winifredae,South Pare White-eye,VU,NT,N,2022-1
Zosterornis hypogrammicus,Palawan Striped Babbler,NT,LC,N,2022-1
Zosterornis latistriatus,Panay Striped Babbler,NT,LC,N,2022-1
Zosterornis striatus,Luzon Striped Babbler,NT,LC,N,2022-1
"",,,,,
REPTILES (Reptilia),,,,,
Acontias grayi,Gray's Dwarf Legless Skink,LC,NT,G,2022-1
Acontias richardi,Richard's Legless Skink,DD,NT,N,2022-1
Acontias rieppeli,Woodbush Legless Skink,NT,EN,N,2022-1
Afroedura granitica,Granite Flat Gecko,DD,LC,N,2022-1
Afroedura rupestris,Abel Erasmus Flat Gecko,DD,LC,N,2022-1
Bitis inornata,Plain Mountain Adder,DD,LC,N,2022-1
Bradypodion kentanicum,Kentani Dwarf Chameleon,NT,EN,N,2022-1
Bradypodion nemorale,Qudeni Dwarf Chameleon,NT,VU,G,2022-1
Bradypodion ngomeense,Ngome Dwarf Chameleon,NT,VU,G,2022-1
Bradypodion setaroi,Setaro's Dwarf Chameleon,LC,NT,G,2022-1
Chamaesaura aenea,Coppery Grass Lizard,LC,NT,N,2022-1
Cordylus macropholis,Large-scaled Girdled Lizard,LC,NT,G,2022-1
Cryptactites peringueyi,Salt Marsh Gecko,NT,LC,N,2022-1
Homopholis mulleri,Muller's Velvet Gecko,LC,NT,G,2022-1
Homoroselaps dorsalis,Striped Harlequin Snake,LC,NT,N,2022-1
Lycophidion pygmaeum,Pygmy Wolf Snake,LC,NT,N,2022-1
Lygodactylus methueni,Methuen's Dwarf Gecko,DD,EN,N,2022-1
Ouroborus cataphractus,Armadillo Girdled Lizard,LC,NT,N,2022-1
Platysaurus relictus,Soutpansberg Flat Lizard,LC,NT,N,2022-1
Pseudocerastes urarachnoides,Spider-tailed Viper,DD,NT,N,2022-1
