Scientific name,Common name,"IUCN Red List(2013)Category","IUCN RedList (2014)Category","Reason forchange","Red Listversion"
,,,,,
OTHER FLOWERING PLANTS,,,,,
Alopecurus aequalis,Orange Foxtail,DD,LC,E,2014
Acacia torrei,,DD,LC,N,2014
Achyranthes talbotii,,VU,NT,N,2014
Albizia suluensis,Zulu Albizia,VU,EN,N,2014
Amaranthus anderssonii,Amaranthus,DD,LC,N,2014
Begonia bonus-henricus,,VU,EN,N,2014
Begonia furfuracea,,VU,EN,N,2014
Betula raddeana,Radde's Birch,LR/nt,LC,N,2014
Boutiquea platypetala,,EN,VU,N,2014
Brugmansia aurea,,VU,EW,N,2014
Brugmansia versicolor,,NT,EW,N,2014
Colvillea racemosa,Colville's Glory,LR/nt,LC,N,2014
Cordia scouleri,,VU,DD,N,2014
Costus geothyrsus,,VU,CR,G,2014
Crataegus nigra,Hungarian Thorn,VU,EN,N,2014
Cyathula fernando-poensis,,VU,EN,N,2014
Cycas curranii,Curran's Pitogo,CR(PE),CR,E,2014
Delonix boiviniana,,LR/nt,LC,N,2014
Delonix brachycarpa,,LR/nt,LC,N,2014
Delonix decaryi,,LR/nt,VU,N,2014
Delonix floribunda,,LR/nt,VU,N,2014
Delonix regia,Flame Tree,VU,LC,N,2014
Delonix tomentosa,,EN,CR,N,2014
Delonix velutina,,CR,EN,N,2014
Fimbristylis littoralis,Lesser Fimbristylis,DD,LC,E,2014
Grewia limae,,DD,EN,N,2014
Impatiens etindensis,,VU,EN,N,2014
Impatiens grandisepala,,DD,CR,N,2014
Isolepis cernua,Slender Club-rush,DD,LC,E,2014
Itaya amicorum,,DD,LC,N,2014
Limosella aquatica,Mudwort,DD,LC,E,2014
Maerua andradae,,DD,LC,N,2014
Mentha aquatica,Water Mint,DD,LC,E,2014
Metrosideros bartlettii,Bartlett's Rata,EN,CR,N,2014
Montia fontana,Blinks,DD,LC,E,2014
Nepenthes adnata,,DD,EN,N,2014
Nepenthes campanulata,Bell-Shaped Pitcher-Plant,DD,VU,N,2014
Nepenthes deaniana,,DD,NT,N,2014
Nepenthes klossii,,VU,EN,G,2014
Nepenthes papuana,,DD,LC,N,2014
Nepenthes sumatrana,,LR/lc,CR,G,2014
Nepenthes tenuis,,DD,EN,N,2014
Nepenthes treubiana,,VU,LC,N,2014
Nymphaea alba,European White Waterlily,DD,LC,E,2014
Osmunda regalis,Royal Fern,DD,LC,E,2014
Potamogeton pusillus,Lesser Pondweed,DD,LC,E,2014
Ranunculus aquatilis,Common Water-crowfoot,DD,LC,E,2014
Sphenoclea zeylanica,,DD,LC,E,2014
Typha latifolia,Broadleaf Cattail,DD,LC,E,2014
Utricularia gibba,Humped Bladderwort,DD,LC,E,2014
Uvariopsis vanderystii,,EN,VU,N,2014
