Somateria mollissima,Common Eider,LC,NT,N,2015-4
Sphecotheres hypoleucus,Wetar Figbird,NT,LC,N,2015-4
Streptopelia turtur,European Turtle-dove,LC,VU,N,2015-4
Thalurania watertonii,Long-tailed Woodnymph,NT,EN,N,2015-4
Torgos tracheliotos,Lappet-faced Vulture,VU,EN,G,2015-4
Trigonoceps occipitalis,White-headed Vulture,VU,CR,G,2015-4
Turdus iliacus,Redwing,LC,NT,N,2015-4
Tyto nigrobrunnea,Taliabu Masked-owl,EN,VU,N,2015-4
Vanellus vanellus,Northern Lapwing,LC,NT,N,2015-4
Xenopipo flavicapilla,Yellow-headed Manakin,NT,VU,N,2015-4
REPTILES,,,,,
Amapasaurus tetradactylus,Four-toed Ampasaurus,DD,LC,N,2015-2
Caretta caretta,Loggerhead Turtle,EN,VU,N,2015-4
Emoia oribata,,DD,LC,N,2015-4
Erythrolamprus mertensi,Mertens' Tropical Forest Snake,DD,LC,N,2015-4
Micrurus multiscutatus,Cauca Coral Snake,DD,NT,N,2015-4
Psammobates geometricus,Geometric Tortoise,EN,CR,G,2015-4
Sphaerodactylus scapularis,Boulenger's Least Gecko,VU,EN,N,2015-4
AMPHIBIANS,,,,,
Afrixalus orophilus,Kivu Banana Frog,VU,LC,N,2015-2
Alsodes tumultuosus,La Parva Spiny-chest Frog,CR,VU,N,2015-4
Ambystoma lermaense,Lake Lerma Salamander,CR,EN,N,2015-4
