Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
Anoxypristis cuspidata,Narrow Sawfish,CR,EN,N,2013.1
Catostomus bernardini,Yaqui Sucker,VU,DD,N,2013.1
Centrophorus harrissoni,Harrisson's Dogfish,CR,EN,N,2013.1
Chrosomus tennesseensis,Tennessee Dace,NT,VU,N,2013.1
Cottus tenuis,Slender Sculpin,DD,VU,N,2013.1
Cycleptus elongatus,Blue Sucker,NT,LC,N,2013.1
Cyprinella caerulea,Blue Shiner,VU,EN,N,2013.1
Cyprinodon bovinus,Leon Springs Pupfish,CR,VU,N,2013.1
Cyprinodon pecosensis,Pecos Pupfish,CR,VU,G,2013.1
Dionda diaboli,Devil's River Minnow,VU,EN,G,2013.1
Elassoma boehlkei,Carolina Pygmy Sunfish,NT,VU,N,2013.1
Entosphenus minimus,Miller Lake Lamprey,DD,VU,N,2013.1
Erimystax cahni,Slender Chub,VU,EN,N,2013.1
Etheostoma ditrema,Coldwater Darter,VU,EN,N,2013.1
Etheostoma fonticola,Fountain Darter,VU,EN,N,2013.1
Etheostoma kanawhae,Kanawha Darter,NT,LC,N,2013.1
Etheostoma luteovinctum,Redband Darter,NT,LC,N,2013.1
Etheostoma maculatum,Spotted Darter,NT,VU,N,2013.1
Etheostoma mariae,Pinewoods Darter,DD,LC,N,2013.1
Etheostoma moorei,Yellowcheek Darter,VU,EN,N,2013.1
Etheostoma rubrum,Bayou Darter,NT,EN,N,2013.1
Fundulus julisia,Barrens Topminnow,VU,EN,N,2013.1
Fundulus waccamensis,Waccamaw Killifish,EN,VU,N,2013.1
Gambusia nobilis,Pecos Gambusia,VU,EN,N,2013.1
Gila cypha,Humpback Chub,VU,EN,N,2013.1
Gila elegans,Bonytail,EN,CR,N,2013.1
Gila intermedia,Gila Chub,NT,EN,N,2013.1
Gila nigrescens,Chihuahua Chub,CR,VU,N,2013.1
Ictalurus pricei,Yaqui Catfish,VU,EN,G,2013.1
Iotichthys phlegethontis,Least Chub,VU,EN,N,2013.1
Lampetra hubbsi,Kern Brook Lamprey,NT,VU,N,2013.1
