"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
50149069,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Coenocyathus","Coenocyathus cylindricus","Milne Edwards &amp; Haime, 1848",NA,NA,NA,"DD",NA
50149087,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Desmophyllum","Desmophyllum dianthus","(Esper, 1794)",NA,NA,NA,"EN","Cockscomb cup coral"
50149106,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Hoplangia","Hoplangia durotrix","Gosse, 1860",NA,NA,NA,"DD","Weymouth Carpet Coral"
50149125,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Paracyathus","Paracyathus pulchellus","(Philippi, 1842)",NA,NA,NA,"DD",NA
50151021,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","TURBINOLIIDAE","Sphenotrochus","Sphenotrochus andrewianus","Milne Edwards &amp; Haime, 1848",NA,NA,NA,"DD",NA
50151050,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Polycyathus","Polycyathus muellerae","(Abel, 1959)",NA,NA,NA,"LC",NA
50151117,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Pourtalosmilia","Pourtalosmilia anthophyllites","(Ellis &amp; Solander, 1786)",NA,NA,NA,"DD",NA
50151375,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Phyllangia","Phyllangia americana ssp. mouchezii","(Lacaze-Duthiers, 1897)","ssp.","mouchezii",NA,"DD",NA
50151546,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Thalamophyllia","Thalamophyllia gasti","(Döderlein, 1913)",NA,NA,NA,"DD",NA
50151878,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","FLABELLIDAE","Monomyces","Monomyces pygmaea","(Risso, 1826)",NA,NA,NA,"LC",NA
50153505,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","GUYNIIDAE","Guynia","Guynia annulata","Duncan, 1872",NA,NA,NA,"DD",NA
50158008,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","GUYNIIDAE","Stenocyathus","Stenocyathus vermiformis","(Pourtalès, 1868)",NA,NA,NA,"DD","Worm Coral"
50160805,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Astroides","Astroides calycularis","(Pallas, 1766)",NA,NA,NA,"LC",NA
50160832,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Balanophyllia","Balanophyllia regia","Gosse, 1853",NA,NA,NA,"DD","Scarlet and gold star coral"
50160898,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Cladopsammia","Cladopsammia rolandi","Lacaze-Duthiers, 1897",NA,NA,NA,"DD",NA
50160903,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Dendrophyllia","Dendrophyllia cornigera","(Lamarck, 1816)",NA,NA,NA,"EN","Coral jaune"
50160912,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Dendrophyllia","Dendrophyllia ramea","(Linnaeus, 1758)",NA,NA,NA,"VU","Coral candelabro"
50161029,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","DENDROPHYLLIIDAE","Leptopsammia","Leptopsammia pruvoti","Lacaze-Duthiers, 1897",NA,NA,NA,"LC","Sunset cup coral"
50161083,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus arenaceus","Delle Chiaje, 1823",NA,NA,NA,"LC",NA
50161085,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus frenzeli","Pax, 1937",NA,NA,NA,"DD",NA
50161087,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus incrustatus","Düben &amp; Koren, 1847",NA,NA,NA,"DD",NA
50161089,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus mediterraneus","Carlgren, 1935",NA,NA,NA,"DD",NA
50161091,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus paguricola","Roule, 1900",NA,NA,NA,"DD",NA
50161093,"ANIMALIA","CNIDARIA","ANTHOZOA","ZOANTHINARIA","EPIZOANTHIDAE","Epizoanthus","Epizoanthus paxii","Abel, 1955",NA,NA,NA,"DD",NA
