"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
86805292,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Gaurotes","Gaurotes virginea","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86805386,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera abdominalis","(Stephens, 1831)",NA,NA,NA,"LC",NA
86805752,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera auricollis","Mulsant &amp; Rey, 1863",NA,NA,NA,"NT",NA
86805790,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera baudii","Sama, 1985",NA,NA,NA,"LC",NA
86805794,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera ruficornis","(Fabricius, 1781)",NA,NA,NA,"LC",NA
86805857,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera ustulata","(Schaller, 1783)",NA,NA,NA,"LC",NA
86805885,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Grammoptera","Grammoptera viridipennis","Pic, 1893",NA,NA,NA,"VU",NA
86806146,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Judolia","Judolia sexmaculata","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86806304,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Leptura","Leptura aethiops","Poda, 1761",NA,NA,NA,"LC",NA
86806308,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Leptura","Leptura annularis","Fabricius, 1801",NA,NA,NA,"LC",NA
86806332,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Leptura","Leptura aurulenta","Fabricius, 1792",NA,NA,NA,"LC",NA
86806335,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Leptura","Leptura quadrifasciata","Linnaeus, 1758",NA,NA,NA,"LC",NA
86806347,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Lepturalia","Lepturalia nigripes","De Geer, 1775",NA,NA,NA,"NT",NA
86806498,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Lepturobosca","Lepturobosca virens","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86806507,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Macroleptura","Macroleptura thoracica","(Creutzer, 1799)",NA,NA,NA,"NT",NA
86806524,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Necydalis","Necydalis major","Linnaeus, 1758",NA,NA,NA,"LC",NA
86806556,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Necydalis","Necydalis ulmi","Chevrolat, 1838",NA,NA,NA,"VU",NA
86806645,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Neopiciella","Neopiciella sicula","(Ganglbauer, 1886)",NA,NA,NA,"VU",NA
86806684,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Nivellia","Nivellia sanguinosa","(Gyllenhal, 1827)",NA,NA,NA,"EN",NA
86806691,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Nothorhina","Nothorhina muricata","(Dalman, 1817)",NA,NA,NA,"VU",NA
86806699,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Nustera","Nustera distigma","(Charpentier, 1825)",NA,NA,NA,"LC",NA
86806803,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Oxymirus","Oxymirus cursor","Linnaeus, 1758",NA,NA,NA,"LC",NA
86806838,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Oxypleurus","Oxypleurus nodieri","Mulsant, 1839",NA,NA,NA,"LC",NA
86806865,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pachyta","Pachyta lamed","(Linnaeus, 1758)",NA,NA,NA,"VU",NA
86806914,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Pachyta","Pachyta quadrimaculata","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
